theta,N,l1_error
0.3141592653589793,10,0.2090169943749473
0.3141592653589793,50,0.07098300562505261
0.3141592653589793,100,0.0509830056250527
0.3141592653589793,500,0.037016994374947335
0.3141592653589793,1000,0.011016994374947325
0.7853981633974483,10,0.19999999999999996
0.7853981633974483,50,0.040000000000000036
0.7853981633974483,100,0.08000000000000002
0.7853981633974483,500,0.052000000000000046
0.7853981633974483,1000,0.008000000000000007
1.2566370614359172,10,0.009016994374947296
1.2566370614359172,50,0.009016994374947296
1.2566370614359172,100,0.049016994374947304
1.2566370614359172,500,0.010983005625052722
1.2566370614359172,1000,0.026983005625052722
