method,N,l1_mean,l1_std,kl_mean,kl_std
Dirichlet(alpha=0.5),10,0.3181892008426957,0.14231991183328924,0.10722643288066337,0.07846754065777281
Dirichlet(alpha=0.5),25,0.20408499823775578,0.11918878433216251,0.05474432798375816,0.056062369761013996
Dirichlet(alpha=0.5),50,0.13644188586013567,0.08118807129686403,0.024600450407913647,0.02170129500857557
Dirichlet(alpha=0.5),100,0.10248664541743477,0.06171130290705275,0.013840923870448128,0.011072670243377072
Dirichlet(alpha=0.5),250,0.06558913256673056,0.036601163420181826,0.0054542551188799014,0.004051205516650073
Dirichlet(alpha=0.5),500,0.047222057373551424,0.02806774431314107,0.0031766176877014514,0.002546690958056126
Dirichlet(alpha=0.5),1000,0.03040387790479762,0.01855213317259621,0.0013973827087541252,0.0012916436994789896
MLE,10,0.33132317574751385,0.1772421986306083,1.0417963920409914,1.41837125659694
MLE,25,0.2090634251942019,0.13589891081755878,0.41531426805711597,0.8274904202233825
MLE,50,0.13868317879125683,0.0843391031289256,0.1596925083201126,0.32148282138584205
MLE,100,0.10320206486300604,0.06331485541369795,0.06032979080880083,0.10209795398613936
MLE,250,0.06549564890006984,0.03738977865168319,0.020118377004256692,0.03720121175433245
MLE,500,0.04707042866700524,0.028175162302273404,0.011997022623162126,0.025037881488702448
MLE,1000,0.030271257228451233,0.018708831882385663,0.003772011793642059,0.007288038873706954
