method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std,theta_error_mean,theta_error_std
RL_adaptive,10,0.9184268885718606,0.1364334234792599,0.0815731114281394,0.13643342347925994,0.45470828325012985,0.41635183818857663
RL_adaptive,25,0.9185649513349494,0.13977340664755866,0.0814350486650505,0.1397734066475587,0.4323648109153179,0.43896511631388313
RL_adaptive,50,0.9297190906924598,0.13572481392670893,0.07028090930754008,0.13572481392670893,0.3891478142346285,0.42182692112772296
RL_adaptive,100,0.919062607512437,0.14846080995330727,0.08093739248756303,0.14846080995330727,0.4112835026737015,0.46139905855813856
RL_adaptive,250,0.9171165961539258,0.16295897638991752,0.08288340384607425,0.1629589763899175,0.40758719586507836,0.49489636084245064
RL_adaptive,500,0.9140220798380039,0.1539918227139534,0.08597792016199611,0.1539918227139534,0.41384871817669816,0.4858639285226219
ZX_split,10,0.9626951980439825,0.053551588674075216,0.03730480195601746,0.053551588674075216,0.3134847298047,0.23997380177506755
ZX_split,25,0.9848494646978927,0.025130037920330965,0.015150535302107311,0.025130037920330982,0.1919185209723105,0.158376345061153
ZX_split,50,0.9928497663300473,0.00992597974866178,0.007150233669952792,0.009925979748661828,0.13537167452466117,0.10256728710321568
ZX_split,100,0.9961922362749365,0.005327344935015685,0.003807763725063542,0.005327344935015704,0.09830230646990468,0.07515234587810142
ZX_split,250,0.9983806166133826,0.0023885788983087127,0.0016193833866173968,0.0023885788983087236,0.06543204634506798,0.047076392347746625
ZX_split,500,0.9991745301290017,0.0012415726645127881,0.0008254698709983339,0.0012415726645127862,0.04466865321445522,0.03626034056500099
Z_only,10,0.7932458528507514,0.32229130123607014,0.20675414714924853,0.32229130123607014,0.740058479979171,0.866625771419277
Z_only,25,0.7977219722229213,0.31277213324317316,0.20227802777707868,0.3127721332431732,0.7122486560321839,0.8624398694962847
Z_only,50,0.7939234760863968,0.3243135519928193,0.2060765239136032,0.3243135519928192,0.7026593346583808,0.9009428358429485
Z_only,100,0.7953444318025851,0.32434228295978107,0.20465556819741496,0.32434228295978107,0.685939986778442,0.9096420342036452
Z_only,250,0.7927435009813494,0.32787252920653276,0.20725649901865068,0.32787252920653276,0.67877385806209,0.9283030576071325
Z_only,500,0.7916655376275618,0.3293227558024044,0.20833446237243827,0.3293227558024044,0.6726998066829926,0.9381191648743801
