target_id,seed,N,method,fidelity,infidelity
0,0,10,RL_adaptive_drift,0.6273825729052717,0.37261742709472834
0,0,25,RL_adaptive_drift,0.6232038362482939,0.3767961637517061
0,0,50,RL_adaptive_drift,0.6375075151784201,0.3624924848215799
0,0,100,RL_adaptive_drift,0.6154182545774719,0.3845817454225281
0,0,250,RL_adaptive_drift,0.6234526947821398,0.3765473052178602
0,0,500,RL_adaptive_drift,0.6924411261815395,0.3075588738184605
0,1,10,RL_adaptive_drift,0.6292965721380062,0.37070342786199384
0,1,25,RL_adaptive_drift,0.6182915560706684,0.38170844392933156
0,1,50,RL_adaptive_drift,0.6248860007458132,0.37511399925418676
0,1,100,RL_adaptive_drift,0.641735582974619,0.35826441702538103
0,1,250,RL_adaptive_drift,0.616008114372301,0.38399188562769904
0,1,500,RL_adaptive_drift,0.5722551326580468,0.42774486734195316
0,2,10,RL_adaptive_drift,0.6287852193140486,0.3712147806859514
0,2,25,RL_adaptive_drift,0.6412666118888398,0.3587333881111602
0,2,50,RL_adaptive_drift,0.6217779564678623,0.37822204353213773
0,2,100,RL_adaptive_drift,0.6373538037232616,0.36264619627673844
0,2,250,RL_adaptive_drift,0.6167506817508047,0.3832493182491953
0,2,500,RL_adaptive_drift,0.6113342222983144,0.38866577770168564
0,3,10,RL_adaptive_drift,0.20271082851462754,0.7972891714853725
0,3,25,RL_adaptive_drift,0.6410765958332768,0.3589234041667232
0,3,50,RL_adaptive_drift,0.6395796180653102,0.36042038193468984
0,3,100,RL_adaptive_drift,0.6461303709443291,0.3538696290556709
0,3,250,RL_adaptive_drift,0.6285166612365368,0.3714833387634632
0,3,500,RL_adaptive_drift,0.656127932311223,0.343872067688777
0,4,10,RL_adaptive_drift,0.6286636141091214,0.3713363858908786
0,4,25,RL_adaptive_drift,0.6334155918273178,0.36658440817268223
0,4,50,RL_adaptive_drift,0.6056613468645656,0.39433865313543437
0,4,100,RL_adaptive_drift,0.634338373996252,0.36566162600374796
0,4,250,RL_adaptive_drift,0.5948485282476484,0.40515147175235156
0,4,500,RL_adaptive_drift,0.6085527168737285,0.39144728312627153
1,0,10,RL_adaptive_drift,0.24593713385319482,0.7540628661468052
1,0,25,RL_adaptive_drift,0.24515158009081267,0.7548484199091874
1,0,50,RL_adaptive_drift,0.25084632799341494,0.749153672006585
1,0,100,RL_adaptive_drift,0.22968946400304802,0.770310535996952
1,0,250,RL_adaptive_drift,0.23857426637304469,0.7614257336269553
1,0,500,RL_adaptive_drift,0.23269125504219276,0.7673087449578072
1,1,10,RL_adaptive_drift,0.012664050245899748,0.9873359497541002
1,1,25,RL_adaptive_drift,0.2369460795254573,0.7630539204745427
1,1,50,RL_adaptive_drift,0.24477984734618566,0.7552201526538144
1,1,100,RL_adaptive_drift,0.25542528011731486,0.7445747198826851
1,1,250,RL_adaptive_drift,0.23930800398876795,0.760691996011232
1,1,500,RL_adaptive_drift,0.24994310028005404,0.7500568997199459
1,2,10,RL_adaptive_drift,0.1832315796487072,0.8167684203512928
1,2,25,RL_adaptive_drift,0.24064720816867055,0.7593527918313294
1,2,50,RL_adaptive_drift,0.01266884167586347,0.9873311583241365
1,2,100,RL_adaptive_drift,0.25028304168618426,0.7497169583138157
1,2,250,RL_adaptive_drift,0.24842308358099152,0.7515769164190085
1,2,500,RL_adaptive_drift,0.2337981888839874,0.7662018111160126
1,3,10,RL_adaptive_drift,0.18033498713668566,0.8196650128633143
1,3,25,RL_adaptive_drift,0.18203106130045757,0.8179689386995425
1,3,50,RL_adaptive_drift,0.24473592157189283,0.7552640784281072
1,3,100,RL_adaptive_drift,0.25263757811490895,0.747362421885091
