method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
RL_adaptive,10,0.7784646186737454,0.16174057989200885,0.22153538132625472,0.16174057989200885
RL_adaptive,25,0.9118460836149818,0.06115170631177234,0.08815391638501822,0.06115170631177234
RL_adaptive,50,0.948767478003659,0.03581870728110947,0.05123252199634102,0.03581870728110948
RL_adaptive,100,0.9651725352987546,0.031238507876881164,0.034827464701245404,0.031238507876881167
RL_adaptive,250,0.9874712963518741,0.009602836276664754,0.01252870364812584,0.009602836276664759
RL_adaptive,500,0.99490813550557,0.003444336436968132,0.005091864494429958,0.0034443364369681367
XYZ_split,10,0.8043739251714542,0.13629807523096008,0.19562607482854583,0.13629807523096008
XYZ_split,25,0.9110921005801924,0.060678520002532155,0.08890789941980759,0.06067852000253221
XYZ_split,50,0.9541287973200326,0.02966617589738977,0.04587120267996735,0.029666175897389763
XYZ_split,100,0.9774238825296443,0.016500737972992813,0.02257611747035574,0.016500737972992806
XYZ_split,250,0.9909923077294628,0.006659649945101356,0.009007692270537158,0.00665964994510134
XYZ_split,500,0.9953675798376967,0.0031493719035150733,0.004632420162303211,0.0031493719035150564
ZX_split,10,0.6566287439105176,0.20588060229074281,0.3433712560894824,0.20588060229074284
ZX_split,25,0.7178100185820464,0.18490336381452793,0.2821899814179536,0.1849033638145279
ZX_split,50,0.7411950729603017,0.17466083625566692,0.2588049270396982,0.1746608362556669
ZX_split,100,0.7511068795711014,0.1660145048784935,0.2488931204288986,0.1660145048784935
ZX_split,250,0.7587063959395699,0.16509453375071326,0.24129360406043007,0.1650945337507133
ZX_split,500,0.7611047710600867,0.16465592447722122,0.23889522893991325,0.16465592447722116
Z_only,10,0.4861469860882202,0.17762809706570673,0.5138530139117797,0.17762809706570676
Z_only,25,0.5025729098894526,0.1675338429065317,0.4974270901105474,0.1675338429065317
Z_only,50,0.5139442404779175,0.15807788189252553,0.4860557595220824,0.15807788189252553
Z_only,100,0.5159164261202054,0.15628213195642088,0.48408357387979456,0.15628213195642093
Z_only,250,0.5210787688090495,0.15155631423147217,0.47892123119095054,0.15155631423147217
Z_only,500,0.5209820590598737,0.15154350439736242,0.4790179409401264,0.15154350439736247
