plane,method,N,fidelity_mean,infidelity_mean
XY,ORACLE_plane,10,0.9193458872121054,0.08065411278789451
XY,ORACLE_plane,25,0.9760466049021461,0.023953395097853863
XY,ORACLE_plane,50,0.987130915332885,0.012869084667114996
XY,ORACLE_plane,100,0.9929455758495698,0.007054424150430167
XY,ORACLE_plane,250,0.9974145290431448,0.0025854709568551714
XY,ORACLE_plane,500,0.9987395924209476,0.001260407579052346
XY,XYZ_split,10,0.8196717762826005,0.18032822371739954
XY,XYZ_split,25,0.9145975436746131,0.08540245632538693
XY,XYZ_split,50,0.9514847093635664,0.04851529063643349
XY,XYZ_split,100,0.9737076316348034,0.02629236836519658
XY,XYZ_split,250,0.9897321259842502,0.010267874015749733
XY,XYZ_split,500,0.995101159964441,0.0048988400355589054
XY,ZX_split,10,0.556998225659363,0.4430017743406371
XY,ZX_split,25,0.6075936654585873,0.39240633454141277
XY,ZX_split,50,0.6364079892282212,0.36359201077177883
XY,ZX_split,100,0.6549447863165968,0.3450552136834032
XY,ZX_split,250,0.6636921212585895,0.33630787874141055
XY,ZX_split,500,0.6667114321428461,0.333288567857154
XY,Z_only,10,0.25000000000000006,0.75
XY,Z_only,25,0.25000000000000006,0.75
XY,Z_only,50,0.25000000000000006,0.75
XY,Z_only,100,0.25,0.75
XY,Z_only,250,0.25,0.75
XY,Z_only,500,0.25000000000000006,0.75
XZ,ORACLE_plane,10,0.9326327825391908,0.06736721746080918
XZ,ORACLE_plane,25,0.9787868916984184,0.021213108301581664
XZ,ORACLE_plane,50,0.9881822523710642,0.011817747628935837
XZ,ORACLE_plane,100,0.9935728184293783,0.006427181570621733
XZ,ORACLE_plane,250,0.9977050133914549,0.002294986608545124
XZ,ORACLE_plane,500,0.9988941989456168,0.0011058010543831672
XZ,XYZ_split,10,0.8578316650392465,0.1421683349607536
XZ,XYZ_split,25,0.9098894736251737,0.09011052637482635
XZ,XYZ_split,50,0.9516037784523053,0.04839622154769464
XZ,XYZ_split,100,0.9801620384136547,0.0198379615863452
XZ,XYZ_split,250,0.9904450821120492,0.009554917887950822
XZ,XYZ_split,500,0.9952148657486783,0.0047851342513217255
XZ,ZX_split,10,0.9529073045312971,0.04709269546870286
XZ,ZX_split,25,0.9709382207006444,0.029061779299355633
XZ,ZX_split,50,0.9871016487770491,0.012898351222950811
XZ,ZX_split,100,0.9930834173810584,0.006916582618941656
XZ,ZX_split,250,0.9979305494196953,0.002069450580304704
XZ,ZX_split,500,0.9986949204659145,0.001305079534085565
XZ,Z_only,10,0.715425441409078,0.284574558590922
XZ,Z_only,25,0.7128295665012382,0.2871704334987618
XZ,Z_only,50,0.7231143483119423,0.27688565168805773
XZ,Z_only,100,0.7231143483119423,0.27688565168805773
XZ,Z_only,250,0.7231143483119423,0.27688565168805773
XZ,Z_only,500,0.7231143483119423,0.27688565168805773
YZ,ORACLE_plane,10,0.9379237474372885,0.06207625256271159
YZ,ORACLE_plane,25,0.9725193028635261,0.02748069713647391
YZ,ORACLE_plane,50,0.9869366195544285,0.013063380445571485
YZ,ORACLE_plane,100,0.9921979559684384,0.0078020440315615626
YZ,ORACLE_plane,250,0.998115440123887,0.0018845598761130678
YZ,ORACLE_plane,500,0.9986487553120823,0.0013512446879176863
YZ,XYZ_split,10,0.8050628958083642,0.1949371041916358
YZ,XYZ_split,25,0.919027584693426,0.08097241530657392
YZ,XYZ_split,50,0.9544549840230209,0.04554501597697917
YZ,XYZ_split,100,0.9733097462170396,0.026690253782960395
YZ,XYZ_split,250,0.9910225074250424,0.008977492574957674
YZ,XYZ_split,500,0.9949742862800738,0.005025713719926243
YZ,ZX_split,10,0.5830457031012746,0.41695429689872543
YZ,ZX_split,25,0.6255229472765043,0.3744770527234957
YZ,ZX_split,50,0.6587555269294243,0.34124447307057565
YZ,ZX_split,100,0.6678316151697988,0.33216838483020117
YZ,ZX_split,250,0.6775268612296912,0.32247313877030875
YZ,ZX_split,500,0.6799040758784208,0.3200959241215792
YZ,Z_only,10,0.6726686548123294,0.32733134518767054
YZ,Z_only,25,0.6775795832163874,0.3224204167836125
YZ,Z_only,50,0.6830767004433344,0.3169232995566657
YZ,Z_only,100,0.6830767004433344,0.3169232995566657
YZ,Z_only,250,0.6830767004433344,0.3169232995566657
YZ,Z_only,500,0.6830767004433344,0.3169232995566657
