N,delta_mean,delta_std,count,rl_win_rate,delta_ci95
1,0.031037705711841442,0.3524928601074785,250,0.576,0.04369546763796009
2,0.08461146379763104,0.4054871851034466,250,0.548,0.05026471222393783
5,-0.013327781125239605,0.28392957501267985,250,0.488,0.03519627476324902
10,-0.14044567739492908,0.2528460553051447,250,0.28,0.03134312174040378
25,-0.23872621412746642,0.21879064875446233,250,0.104,0.02712156980775133
50,-0.24668310311690225,0.18831684213895095,250,0.04,0.023343997602834825
100,-0.28400885905844436,0.20826393677109678,250,0.016,0.0258166650710624
250,-0.26373715127951053,0.20676939422606158,250,0.024,0.025631399657770833
500,-0.2953009404030964,0.19665371562398484,250,0.0,0.02437744714690784
1000,-0.3218557336289565,0.20632908641554554,250,0.0,0.025576818536101366
