method,N,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,infidelity_std,infidelity_count,fidelity_ci95,infidelity_ci95
RL_adaptive,1,0.45980337427205364,0.2237819033903251,250,0.5401966257279462,0.22378190339032514,250,0.027740292142574396,0.0277402921425744
RL_adaptive,2,0.5403234931140912,0.2385525629705098,250,0.4596765068859087,0.2385525629705098,250,0.029571282073776104,0.029571282073776104
RL_adaptive,5,0.6469878414678726,0.20207161682188865,250,0.3530121585321274,0.2020716168218887,250,0.025049057137494564,0.02504905713749457
RL_adaptive,10,0.6644261099752273,0.19921761228971543,250,0.3355738900247727,0.19921761228971543,250,0.024695271070349425,0.024695271070349425
RL_adaptive,25,0.6745802471456878,0.20065528919012257,250,0.3254197528543122,0.20065528919012263,250,0.024873487345301572,0.02487348734530158
RL_adaptive,50,0.7061612659670135,0.18691939451954806,250,0.29383873403298655,0.18691939451954806,250,0.023170768201221572,0.023170768201221572
RL_adaptive,100,0.6923828227642216,0.20590326272145032,250,0.3076171772357784,0.20590326272145032,250,0.025524032884105062,0.025524032884105062
RL_adaptive,250,0.7269240110243863,0.20656648157492175,250,0.2730759889756136,0.20656648157492175,250,0.025606246344939163,0.025606246344939163
RL_adaptive,500,0.7000185975887782,0.19686834594480782,250,0.2999814024112219,0.19686834594480782,250,0.024404052997122186,0.024404052997122186
RL_adaptive,1000,0.6757571644364323,0.206254598893278,250,0.32424283556356764,0.20625459889327796,250,0.02556758496717835,0.02556758496717834
XYZ_split,1,0.4287656685602122,0.23565536976903703,250,0.5712343314397877,0.23565536976903706,250,0.02921214228371831,0.029212142283718313
XYZ_split,2,0.45571202931646027,0.2649528698746551,250,0.5442879706835398,0.26495286987465516,250,0.03284389802296316,0.03284389802296317
XYZ_split,5,0.6603156225931122,0.20176752008112048,250,0.33968437740688784,0.20176752008112053,250,0.025011360914964004,0.02501136091496401
XYZ_split,10,0.8048717873701563,0.14385978173405056,250,0.19512821262984364,0.1438597817340506,250,0.01783304329979206,0.017833043299792063
XYZ_split,25,0.9133064612731543,0.06990345161704396,250,0.0866935387268458,0.06990345161704396,250,0.00866532163795578,0.00866532163795578
XYZ_split,50,0.9528443690839157,0.032047464533977284,250,0.04715563091608426,0.03204746453397726,250,0.003972644861504724,0.003972644861504722
XYZ_split,100,0.976391681822666,0.017585606885624588,250,0.02360831817733399,0.017585606885624588,250,0.0021799344143606236,0.0021799344143606236
XYZ_split,250,0.990661162303897,0.007095715155758122,250,0.009338837696103048,0.007095715155758133,250,0.0008795939635829065,0.0008795939635829077
XYZ_split,500,0.9953195379918746,0.003236731832438575,250,0.004680462008125484,0.0032367318324385435,250,0.0004012294348145137,0.0004012294348145097
XYZ_split,1000,0.9976128980653888,0.0015941299670704527,250,0.0023871019346111866,0.0015941299670704221,250,0.00019761039802505638,0.0001976103980250526
ZX_split,1,0.45790205436169223,0.23637875271056544,250,0.5420979456383077,0.23637875271056544,250,0.029301813762175402,0.029301813762175402
ZX_split,2,0.5501441383899625,0.2330859985378592,250,0.44985586161003754,0.23308599853785925,250,0.02889363972611302,0.028893639726113026
ZX_split,5,0.6355637490086539,0.22473158466754437,250,0.36443625099134613,0.2247315846675444,250,0.027858015853353835,0.02785801585335384
ZX_split,10,0.7086041949611777,0.19069826221736536,250,0.29139580503882234,0.19069826221736536,250,0.023639201494161922,0.023639201494161922
ZX_split,25,0.7632432612791884,0.16850144478265558,250,0.23675673872081165,0.16850144478265555,250,0.02088765549805767,0.020887655498057666
ZX_split,50,0.7823761275571498,0.16037342611294103,250,0.21762387244285014,0.16037342611294103,250,0.019880095865119414,0.019880095865119414
ZX_split,100,0.7936398873934489,0.15600517922601936,250,0.20636011260655113,0.15600517922601945,250,0.0193386023709706,0.019338602370970612
ZX_split,250,0.8023928475675783,0.15042849663600827,250,0.1976071524324217,0.1504284966360083,250,0.018647309635098714,0.018647309635098717
ZX_split,500,0.8048607891457764,0.14885105109883973,250,0.19513921085422362,0.14885105109883967,250,0.018451767460431756,0.01845176746043175
ZX_split,1000,0.8057262095261097,0.14898245005801738,250,0.19427379047389018,0.1489824500580174,250,0.01846805584416429,0.018468055844164295
Z_only,1,0.444579752521923,0.22126200121488693,250,0.5554202474780771,0.2212620012148871,250,0.02742792183265064,0.02742792183265066
Z_only,2,0.46555214421634245,0.21593366719571044,250,0.5344478557836576,0.21593366719571025,250,0.026767414704568164,0.026767414704568143
Z_only,5,0.5189385153014289,0.19369795235445644,250,0.4810614846985711,0.1936979523544564,250,0.024011046935993586,0.02401104693599358
Z_only,10,0.5382762584056823,0.1727048756067329,250,0.46172374159431767,0.17270487560673295,250,0.02140871818138655,0.021408718181386555
Z_only,25,0.5575491047766244,0.157083804770958,250,0.44245089522337566,0.15708380477095804,250,0.019472310178776903,0.019472310178776906
Z_only,50,0.5666122660797532,0.14821557189331006,250,0.4333877339202467,0.14821557189331003,250,0.01837299264198195,0.018372992641981948
Z_only,100,0.5667000722512335,0.14672894088591681,250,0.4332999277487664,0.1467289408859168,250,0.0181887079530571,0.018188707953057097
Z_only,250,0.5710088301368188,0.14281360710516525,250,0.4289911698631812,0.1428136071051653,250,0.017703358149215746,0.01770335814921575
Z_only,500,0.5710947240714774,0.14270545172013666,250,0.4289052759285226,0.14270545172013666,250,0.017689951068785955,0.017689951068785955
Z_only,1000,0.5710126743778511,0.142799939307521,250,0.4289873256221488,0.14279993930752105,250,0.017701663871466503,0.01770166387146651
