N,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,1.396,0.968,0.548,0.028,1.06,0.22,0.08,0.088,1.612
9,1.196,0.88,0.68,0.476,1.512,1.984,0.1,0.52,1.652
12,2.8,0.3,0.016,0.06,3.884,1.932,1.048,0.852,1.108
15,2.324,0.032,1.936,1.404,3.14,0.172,2.032,0.88,3.08
20,3.084,0.536,0.94,0.036,5.528,1.488,5.124,0.0,3.264
25,2.564,2.86,3.268,2.032,3.348,3.488,5.704,0.568,1.168
30,1.768,7.244,1.42,6.976,1.592,2.348,1.94,2.428,4.284
40,2.76,8.108,0.992,4.012,3.66,7.564,1.088,6.516,5.3
50,1.94,6.252,22.028,3.096,1.74,6.62,4.06,1.576,2.688
75,5.1,0.868,7.644,6.884,2.34,2.552,3.88,12.42,33.312
100,11.676,3.708,40.256,11.3,5.772,13.232,1.924,7.844,4.288
