N,delta_mean,delta_std,count,rl_win_rate,delta_sem,delta_ci95
3,-0.03597100647618336,0.3213934743477809,250,0.428,0.020326708081077734,0.039840347838912354
6,-0.0003292683140760435,0.2689033777612456,250,0.496,0.017006942884764113,0.03333360805413766
9,-0.01407679209155092,0.22596742576818923,250,0.464,0.01429143484865003,0.028011212303354058
12,-0.023683196981009385,0.16828737239368316,250,0.436,0.010643427964179622,0.020861118809792058
15,-0.019625153385946354,0.15302432556009743,250,0.46,0.009678108123620585,0.018969091922296347
20,-0.012950078841304363,0.12778816619166145,250,0.472,0.008082033263635503,0.015840785196725587
25,0.004976573926022869,0.09126603617105698,250,0.528,0.005772170946317055,0.011313455054781428
30,0.0005938608046591081,0.08056011768225645,250,0.496,0.005095069208942704,0.0099863356495277
40,-0.0025929212466834937,0.06473233713620766,250,0.46,0.004094032472326349,0.008024303645759644
50,-0.017997198411842587,0.06777445314299461,250,0.42,0.004286432782084409,0.008401408252885443
75,-0.016356281141813624,0.04483835079110235,250,0.36,0.002835826300509923,0.005558219548999449
100,-0.008757168822840234,0.031691887814811824,250,0.384,0.002004370976906838,0.003928567114737403
