method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
RL_adaptive,3,0.6123639126639606,0.21988847787385696,0.38763608733603944,0.21988847787385696
RL_adaptive,6,0.7091261902693305,0.20159216379621425,0.2908738097306695,0.2015921637962142
RL_adaptive,9,0.77248045693176,0.1607257989727454,0.22751954306824,0.16072579897274542
RL_adaptive,12,0.8225042707611394,0.12821620492888763,0.17749572923886056,0.1282162049288876
RL_adaptive,15,0.8498418070346988,0.11273499106419937,0.1501581929653012,0.11273499106419942
RL_adaptive,20,0.8798157135978115,0.10182344899951339,0.12018428640218844,0.10182344899951339
RL_adaptive,25,0.9144517111436813,0.06248831541405635,0.08554828885631864,0.06248831541405633
RL_adaptive,30,0.923013322103887,0.060649281345192346,0.07698667789611302,0.060649281345192346
RL_adaptive,40,0.9410547257981651,0.04992703939270036,0.058945274201834826,0.049927039392700365
RL_adaptive,50,0.9332453985182053,0.05671288197505529,0.06675460148179464,0.05671288197505532
RL_adaptive,75,0.9549123054200693,0.03877952829465069,0.045087694579930705,0.0387795282946507
RL_adaptive,100,0.9682558403091354,0.025802787842533884,0.03174415969086464,0.025802787842533897
XYZ_split,3,0.648334919140144,0.20034203481953783,0.35166508085985604,0.20034203481953788
XYZ_split,6,0.7094554585834065,0.19548973126049657,0.29054454141659347,0.1954897312604966
XYZ_split,9,0.786557249023311,0.162146244501365,0.21344275097668908,0.16214624450136494
XYZ_split,12,0.8461874677421488,0.12401361535303486,0.1538125322578512,0.1240136153530349
XYZ_split,15,0.8694669604206451,0.09706234444354256,0.13053303957935483,0.09706234444354249
XYZ_split,20,0.8927657924391159,0.0755463176880909,0.10723420756088407,0.0755463176880909
XYZ_split,25,0.9094751372176585,0.07463315184451005,0.09052486278234151,0.07463315184451008
XYZ_split,30,0.9224194612992279,0.05845922268277201,0.07758053870077213,0.058459222682772025
XYZ_split,40,0.9436476470448487,0.042453466635847543,0.056352352955151334,0.04245346663584755
XYZ_split,50,0.951242596930048,0.03416108046052139,0.04875740306995205,0.034161080460521395
XYZ_split,75,0.9712685865618829,0.022767840409032368,0.02873141343811708,0.022767840409032337
XYZ_split,100,0.9770130091319756,0.01656649146124787,0.0229869908680244,0.016566491461247865
ZX_split,3,0.5536912615008501,0.23349069882552448,0.4463087384991498,0.2334906988255245
ZX_split,6,0.6424111411667346,0.21085923548823174,0.3575888588332654,0.21085923548823174
ZX_split,9,0.6843580004565104,0.19428219203545516,0.3156419995434897,0.19428219203545513
ZX_split,12,0.7113926016727907,0.1925852152844495,0.28860739832720916,0.19258521528444958
ZX_split,15,0.7293297377824948,0.18430568740577996,0.2706702622175052,0.1843056874057799
ZX_split,20,0.737071366062782,0.17993672707904018,0.2629286339372181,0.17993672707904018
ZX_split,25,0.7439781055334379,0.17125204936665292,0.2560218944665621,0.17125204936665295
ZX_split,30,0.752818005079925,0.17015509878254428,0.247181994920075,0.17015509878254423
ZX_split,40,0.7651429199821027,0.1635910035920621,0.23485708001789726,0.16359100359206208
ZX_split,50,0.7711501990498455,0.16113968730263065,0.2288498009501545,0.1611396873026306
ZX_split,75,0.7782036996417856,0.15840370838573678,0.22179630035821432,0.15840370838573678
ZX_split,100,0.7825060363415169,0.15363488365283468,0.21749396365848303,0.15363488365283473
Z_only,3,0.4939885821780645,0.20954800138126115,0.5060114178219355,0.2095480013812611
Z_only,6,0.5112888088282254,0.19673799041649348,0.4887111911717746,0.1967379904164936
Z_only,9,0.5261067129631398,0.18405500876511038,0.47389328703686023,0.18405500876511038
Z_only,12,0.5352949112987504,0.1789532941992568,0.4647050887012495,0.1789532941992568
Z_only,15,0.5411665656051756,0.16843419433999088,0.45883343439482444,0.1684341943399909
Z_only,20,0.5466067219852355,0.1669781958612323,0.45339327801476453,0.1669781958612323
Z_only,25,0.5490402147112179,0.1621307588006405,0.4509597852887821,0.1621307588006405
Z_only,30,0.5497563620785503,0.16372252798775683,0.4502436379214497,0.16372252798775688
Z_only,40,0.5577291185705845,0.15301589415272895,0.44227088142941545,0.15301589415272895
Z_only,50,0.5572210716570075,0.15358134606727364,0.44277892834299243,0.15358134606727367
Z_only,75,0.5597201925169113,0.14990350730618202,0.44027980748308865,0.1499035073061821
Z_only,100,0.5610692017708673,0.14928972661559514,0.4389307982291328,0.1492897266155952
