N,degraded_noise,degraded_basis,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,0.05,X,1.891089108910891,1.504950495049505,0.07920792079207921,0.21782178217821782,2.227722772277228,1.7128712871287128,0.15841584158415842,0.36633663366336633,1.8415841584158417
10,0.05,Y,1.8279569892473118,1.6129032258064515,0.0967741935483871,0.26881720430107525,2.053763440860215,1.8387096774193548,0.06451612903225806,0.3548387096774194,1.881720430107527
10,0.05,Z,1.5566037735849056,1.6981132075471699,0.1509433962264151,0.2358490566037736,2.641509433962264,1.169811320754717,0.19811320754716982,0.2169811320754717,2.1320754716981134
10,0.1,X,1.550561797752809,1.6853932584269662,0.0449438202247191,0.3146067415730337,2.348314606741573,1.7752808988764044,0.15730337078651685,0.3707865168539326,1.752808988764045
10,0.1,Y,1.7570093457943925,1.6728971962616823,0.037383177570093455,0.21495327102803738,2.0373831775700935,1.691588785046729,0.102803738317757,0.3644859813084112,2.121495327102804
10,0.1,Z,1.9038461538461537,1.6923076923076923,0.09615384615384616,0.25961538461538464,2.4326923076923075,1.2307692307692308,0.20192307692307693,0.18269230769230768,2.0
10,0.15,X,1.6262626262626263,1.5757575757575757,0.0707070707070707,0.16161616161616163,2.3737373737373737,1.8484848484848484,0.09090909090909091,0.5252525252525253,1.7272727272727273
10,0.15,Y,1.8035714285714286,1.2857142857142858,0.026785714285714284,0.09821428571428571,2.1160714285714284,1.7321428571428572,0.13392857142857142,0.42857142857142855,2.375
10,0.15,Z,2.0112359550561796,1.8651685393258426,0.1348314606741573,0.30337078651685395,2.168539325842697,1.3932584269662922,0.20224719101123595,0.19101123595505617,1.7303370786516854
10,0.2,X,1.528301886792453,1.3584905660377358,0.07547169811320754,0.20754716981132076,2.8962264150943398,1.7641509433962264,0.11320754716981132,0.4528301886792453,1.6037735849056605
10,0.2,Y,1.5274725274725274,1.4725274725274726,0.01098901098901099,0.17582417582417584,2.021978021978022,1.7252747252747254,0.0989010989010989,0.34065934065934067,2.6263736263736264
10,0.2,Z,2.087378640776699,2.1067961165048543,0.02912621359223301,0.36893203883495146,2.1553398058252426,1.4271844660194175,0.13592233009708737,0.05825242718446602,1.6310679611650485
10,0.25,X,1.3693693693693694,1.3603603603603605,0.018018018018018018,0.23423423423423423,3.099099099099099,1.7567567567567568,0.07207207207207207,0.4864864864864865,1.6036036036036037
10,0.25,Y,1.5161290322580645,1.2258064516129032,0.010752688172043012,0.12903225806451613,1.903225806451613,1.7526881720430108,0.021505376344086023,0.3870967741935484,3.053763440860215
10,0.25,Z,2.2291666666666665,2.1458333333333335,0.14583333333333334,0.3541666666666667,2.1666666666666665,0.96875,0.34375,0.052083333333333336,1.59375
25,0.05,X,4.148514851485149,4.445544554455446,0.8217821782178217,3.4356435643564356,1.2376237623762376,4.712871287128713,1.0,1.0198019801980198,4.178217821782178
25,0.05,Y,3.913978494623656,4.279569892473118,0.9139784946236559,2.7419354838709675,1.3225806451612903,5.139784946236559,1.118279569892473,1.086021505376344,4.483870967741935
25,0.05,Z,3.518867924528302,4.7075471698113205,0.8207547169811321,3.4150943396226414,1.179245283018868,4.820754716981132,1.5188679245283019,0.9905660377358491,4.028301886792453
25,0.1,X,3.191011235955056,5.168539325842697,0.7191011235955056,3.393258426966292,1.146067415730337,4.966292134831461,1.0224719101123596,1.1348314606741574,4.258426966292135
25,0.1,Y,3.7476635514018692,4.065420560747664,1.0654205607476634,2.94392523364486,1.2897196261682242,4.94392523364486,1.1869158878504673,1.1308411214953271,4.626168224299065
25,0.1,Z,4.0576923076923075,4.490384615384615,0.875,3.5384615384615383,1.1634615384615385,4.471153846153846,1.3942307692307692,0.7596153846153846,4.25
25,0.15,X,3.01010101010101,5.2727272727272725,0.8888888888888888,3.898989898989899,1.2828282828282829,4.353535353535354,0.6868686868686869,1.101010101010101,4.505050505050505
25,0.15,Y,3.3660714285714284,4.0625,1.1696428571428572,3.1875,1.125,4.946428571428571,1.3214285714285714,1.2678571428571428,4.553571428571429
