N,degraded_noise,delta_mean,delta_std,count,rl_win_rate,delta_ci95
10,0.05,-0.04279666119571367,0.24725499474314014,300,0.43,0.027979536603592564
10,0.1,-0.035764369705321875,0.24904585535856102,300,0.43666666666666665,0.028182191559837855
10,0.15,-0.019524252856154906,0.24755951440679078,300,0.47,0.02801399624750988
10,0.2,0.006437302380992007,0.28889305872313237,300,0.51,0.0326913271032797
10,0.25,-0.023786118835838064,0.29987535162252854,300,0.47333333333333333,0.0339340905365897
25,0.05,-0.004234960257294646,0.11232862647599541,300,0.5,0.012711180695788905
25,0.1,-0.004198982398578125,0.12862121953586952,300,0.49333333333333335,0.014554861161616315
25,0.15,0.006305503920323419,0.14608310705104308,300,0.5,0.01653085975127542
25,0.2,-0.011544688335411168,0.1624185221078617,300,0.4533333333333333,0.018379385982229605
25,0.25,-0.008423326060365126,0.2151025180599095,300,0.49666666666666665,0.024341141354229993
50,0.05,-0.009345043617888937,0.07528819956426425,300,0.4866666666666667,0.008519661807905124
50,0.1,-0.008696969194560858,0.07633290648212492,300,0.48333333333333334,0.008637881524674342
50,0.15,-0.012681304143084552,0.0805465892592251,300,0.48,0.009114704618259487
50,0.2,-0.014154483265391088,0.09832141549459542,300,0.4533333333333333,0.011126115557770301
50,0.25,-0.0035091411397862545,0.1495952034199882,300,0.49,0.01692829086894537
100,0.05,-0.011851178563529987,0.03977024706694653,300,0.38333333333333336,0.0045004271185685426
100,0.1,-0.010413279294150726,0.05025526000633039,300,0.4066666666666667,0.005686918026998498
100,0.15,-0.013080568104892991,0.04531080956463514,300,0.4033333333333333,0.005127400787471025
100,0.2,-0.014949359539540786,0.06476948746722333,300,0.46,0.007329357480797194
100,0.25,-0.013865220158164892,0.06967003824505887,300,0.43333333333333335,0.007883907005706306
250,0.05,-0.005422104863953637,0.015393047339637296,300,0.4166666666666667,0.0017418872849368958
250,0.1,-0.005664656555049301,0.01852614530460922,300,0.3933333333333333,0.0020964306958178016
250,0.15,-0.004605320204062166,0.019210574387084685,300,0.41333333333333333,0.0021738811375594516
250,0.2,-0.009690925070206998,0.02899282901396699,300,0.36,0.003280847456613396
250,0.25,-0.005089686230530035,0.03725862564865099,300,0.47333333333333333,0.004216210399385292
