method,N,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,infidelity_std,infidelity_count,fidelity_ci95,infidelity_ci95
RL_adaptive,10,0.7979471442164711,0.13348492588081165,60,0.2020528557835289,0.13348492588081162,60,0.03377634646719951,0.0337763464671995
RL_adaptive,25,0.9076157127534709,0.06303449035335346,60,0.09238428724652917,0.06303449035335347,60,0.01594992671651372,0.015949926716513723
RL_adaptive,50,0.9551705649146889,0.03220807785841923,60,0.044829435085311044,0.03220807785841924,60,0.008149768145055289,0.00814976814505529
RL_adaptive,100,0.9703915421900952,0.023239368090998774,60,0.029608457809904863,0.02323936809099877,60,0.005880371458731057,0.005880371458731056
RL_adaptive,250,0.9874787482469392,0.009010375804500405,60,0.012521251753060868,0.009010375804500405,60,0.0022799396483481546,0.0022799396483481546
RL_adaptive,500,0.9917075625912329,0.010455380792975618,60,0.008292437408767069,0.010455380792975626,60,0.0026455763583774954,0.0026455763583774976
XYZ_split,10,0.7906109852716781,0.13024978603573792,60,0.20938901472832194,0.13024978603573792,60,0.03295774314134816,0.03295774314134816
XYZ_split,25,0.9124535786839874,0.05711620917232694,60,0.08754642131601262,0.05711620917232693,60,0.014452394958964205,0.014452394958964204
XYZ_split,50,0.9534492264131086,0.03425502530290466,60,0.046550773586891386,0.034255025302904654,60,0.008667717311441477,0.008667717311441475
XYZ_split,100,0.9784927869710394,0.015269417736112869,60,0.021507213028960557,0.015269417736112864,60,0.003863695772418954,0.003863695772418953
XYZ_split,250,0.9891975018218564,0.007967439930973073,60,0.010802498178143615,0.007967439930973068,60,0.0020160404614183564,0.002016040461418355
XYZ_split,500,0.9957245071865523,0.0032468366402576315,60,0.004275492813447644,0.00324683664025764,60,0.0008215630233908247,0.000821563023390827
ZX_split,10,0.7376684329344764,0.1961596694391561,60,0.2623315670655237,0.19615966943915614,60,0.04963524468511303,0.04963524468511304
ZX_split,25,0.7751605559433272,0.16813607265628525,60,0.22483944405667275,0.16813607265628527,60,0.04254429634057484,0.042544296340574855
ZX_split,50,0.8072825873479038,0.1499734297773991,60,0.19271741265209627,0.14997342977739905,60,0.03794851359889632,0.037948513598896304
ZX_split,100,0.8158767023109337,0.1505341460657758,60,0.1841232976890663,0.15053414606577578,60,0.03809039439555589,0.038090394395555886
ZX_split,250,0.8214899181063052,0.14552828627213577,60,0.17851008189369477,0.14552828627213577,60,0.03682373710342703,0.03682373710342703
ZX_split,500,0.8230368624630519,0.14723571548614037,60,0.17696313753694815,0.1472357154861404,60,0.03725577630425733,0.03725577630425734
Z_only,10,0.47290471659346084,0.19572971693821326,60,0.5270952834065391,0.19572971693821326,60,0.049526451691893326,0.049526451691893326
Z_only,25,0.5415278081006781,0.14249987210048753,60,0.45847219189932187,0.14249987210048756,60,0.036057442590149175,0.03605744259014918
Z_only,50,0.5397781630190714,0.14426578520807617,60,0.46022183698092867,0.14426578520807617,60,0.03650428025784313,0.03650428025784313
Z_only,100,0.5427226971471669,0.13952696952931887,60,0.457277302852833,0.13952696952931887,60,0.035305194449810985,0.035305194449810985
Z_only,250,0.5429273175345133,0.13942458276673175,60,0.45707268246548677,0.13942458276673173,60,0.03527928702435469,0.035279287024354684
Z_only,500,0.5430792820320031,0.13924893052234125,60,0.45692071796799705,0.13924893052234125,60,0.03523484087416112,0.03523484087416112
