method,N,noise,fidelity_mean,fidelity_std,fidelity_count,infidelity_mean,infidelity_std,infidelity_count,fidelity_ci95,infidelity_ci95
RL_adaptive,5,0.0,0.6621124424000844,0.20559864375819287,400,0.3378875575999156,0.20559864375819287,400,0.020148667088302902,0.020148667088302902
RL_adaptive,5,0.05,0.6214031365019023,0.22564488121614765,400,0.3785968634980977,0.22564488121614762,400,0.02211319835918247,0.022113198359182466
RL_adaptive,5,0.1,0.5990572869965632,0.24377545840772125,400,0.40094271300343676,0.24377545840772122,400,0.02388999492395668,0.02388999492395668
RL_adaptive,5,0.15,0.5314275229493821,0.2546415635777912,400,0.4685724770506179,0.2546415635777912,400,0.02495487323062354,0.02495487323062354
RL_adaptive,10,0.0,0.7879079249692232,0.14767565051137962,400,0.21209207503077676,0.14767565051137962,400,0.014472213750115204,0.014472213750115204
RL_adaptive,10,0.05,0.7552132422982559,0.17559452776666895,400,0.244786757701744,0.17559452776666892,400,0.017208263721133557,0.017208263721133554
RL_adaptive,10,0.1,0.7114802191844722,0.1963178708606428,400,0.2885197808155278,0.1963178708606428,400,0.019239151344342995,0.019239151344342995
RL_adaptive,10,0.15,0.6489142742345828,0.21558761269137647,400,0.3510857257654172,0.21558761269137644,400,0.021127586043754892,0.02112758604375489
RL_adaptive,25,0.0,0.9156054223805872,0.0639293978824757,400,0.0843945776194129,0.0639293978824757,400,0.006265080992482619,0.006265080992482619
RL_adaptive,25,0.05,0.8791024064894069,0.099508186468214,400,0.12089759351059312,0.09950818646821398,400,0.00975180227388497,0.00975180227388497
RL_adaptive,25,0.1,0.8457573041050179,0.11560962931855201,400,0.15424269589498216,0.11560962931855202,400,0.011329743673218097,0.011329743673218099
RL_adaptive,25,0.15,0.8130420457548406,0.134564129131877,400,0.18695795424515943,0.134564129131877,400,0.013187284654923947,0.013187284654923947
RL_adaptive,50,0.0,0.9501182977901318,0.04049842334686086,400,0.04988170220986813,0.04049842334686087,400,0.003968845487992364,0.003968845487992366
RL_adaptive,50,0.05,0.9380826903954099,0.046346057312432604,400,0.06191730960459013,0.0463460573124326,400,0.004541913616618395,0.004541913616618395
RL_adaptive,50,0.1,0.9177074269233063,0.05923492397938375,400,0.08229257307669371,0.0592349239793837,400,0.005805022549979608,0.005805022549979603
RL_adaptive,50,0.15,0.8925761338634911,0.08244252398740458,400,0.10742386613650888,0.08244252398740459,400,0.008079367350765648,0.00807936735076565
RL_adaptive,100,0.0,0.9703884959660534,0.022795386447174153,400,0.029611504033946728,0.022795386447174167,400,0.002233947871823067,0.002233947871823068
RL_adaptive,100,0.05,0.9632004048969356,0.029361155464089173,400,0.036799595103064416,0.029361155464089156,400,0.002877393235480739,0.002877393235480737
RL_adaptive,100,0.1,0.9480510833379487,0.04117003831996609,400,0.051948916662051266,0.041170038319966094,400,0.0040346637553566765,0.004034663755356677
RL_adaptive,100,0.15,0.9334036708471511,0.050766379637539584,400,0.06659632915284883,0.05076637963753961,400,0.00497510520447888,0.004975105204478881
XYZ_split,5,0.0,0.6552063677817839,0.19969146879141714,400,0.3447936322182161,0.1996914687914171,400,0.01956976394155888,0.019569763941558876
XYZ_split,5,0.05,0.615168180883815,0.21401622426646075,400,0.384831819116185,0.2140162242664608,400,0.020973589978113154,0.020973589978113157
XYZ_split,5,0.1,0.5636220890270338,0.24829934933935552,400,0.4363779109729662,0.24829934933935555,400,0.024333336235256842,0.024333336235256846
XYZ_split,5,0.15,0.5297950802695168,0.24238104844697123,400,0.47020491973048323,0.24238104844697123,400,0.02375334274780318,0.02375334274780318
XYZ_split,10,0.0,0.808988407926535,0.1266262894089121,400,0.1910115920734649,0.12662628940891207,400,0.012409376362073387,0.012409376362073383
XYZ_split,10,0.05,0.7587629749454614,0.1703419734632226,400,0.24123702505453865,0.17034197346322258,400,0.016693513399395815,0.01669351339939581
XYZ_split,10,0.1,0.7115171787365425,0.19753755861069897,400,0.2884828212634576,0.19753755861069894,400,0.019358680743848496,0.019358680743848493
XYZ_split,10,0.15,0.6341643417493925,0.23077326737994563,400,0.36583565825060754,0.23077326737994563,400,0.022615780203234674,0.022615780203234674
XYZ_split,25,0.0,0.9147475535185202,0.0586730572950571,400,0.08525244648147977,0.0586730572950571,400,0.005749959614915595,0.005749959614915595
XYZ_split,25,0.05,0.894877337936666,0.07873067407523443,400,0.10512266206333389,0.07873067407523442,400,0.007715606059372974,0.007715606059372973
XYZ_split,25,0.1,0.8509013455849379,0.121644931805222,400,0.14909865441506215,0.12164493180522197,400,0.011921203316911756,0.011921203316911754
XYZ_split,25,0.15,0.8038748774980466,0.13739859276502076,400,0.19612512250195333,0.13739859276502076,400,0.013465062090972032,0.013465062090972032
XYZ_split,50,0.0,0.9532331187964296,0.03528294374083847,400,0.046766881203570386,0.035282943740838485,400,0.0034577284866021698,0.003457728486602171
XYZ_split,50,0.05,0.9400734278796429,0.04372481664523975,400,0.05992657212035713,0.04372481664523976,400,0.004285032031233495,0.004285032031233496
XYZ_split,50,0.1,0.9208983613982652,0.05708428106988216,400,0.0791016386017348,0.057084281069882156,400,0.005594259544848452,0.005594259544848451
XYZ_split,50,0.15,0.8993372157073501,0.07182300382162371,400,0.1006627842926498,0.07182300382162368,400,0.007038654374519124,0.007038654374519121
XYZ_split,100,0.0,0.9761567482065456,0.01749084530291055,400,0.023843251793454402,0.017490845302910545,400,0.0017141028396852338,0.0017141028396852336
XYZ_split,100,0.05,0.9679571887721791,0.023105030701003944,400,0.032042811227820864,0.023105030701003944,400,0.0022642930086983868,0.0022642930086983868
XYZ_split,100,0.1,0.95700195564386,0.030118650256800876,400,0.04299804435614,0.03011865025680085,400,0.002951627725166486,0.0029516277251664834
XYZ_split,100,0.15,0.9472304796154458,0.036439735534820765,400,0.052769520384554125,0.03643973553482075,400,0.003571094082412435,0.0035710940824124336
ZX_split,5,0.0,0.6020586718025083,0.21148984577094676,400,0.39794132819749173,0.21148984577094676,400,0.020726004885552783,0.020726004885552783
ZX_split,5,0.05,0.5792038091504,0.21339254593491566,400,0.42079619084959996,0.21339254593491555,400,0.020912469501621733,0.020912469501621726
ZX_split,5,0.1,0.5373668826277156,0.22490132615053182,400,0.4626331173722844,0.22490132615053182,400,0.02204032996275212,0.02204032996275212
ZX_split,5,0.15,0.4899689368735654,0.22666553877923745,400,0.5100310631264346,0.22666553877923745,400,0.022213222800365272,0.022213222800365272
ZX_split,10,0.0,0.6821943664177769,0.17487959958357707,400,0.3178056335822231,0.1748795995835771,400,0.017138200759190553,0.017138200759190557
ZX_split,10,0.05,0.6583907098204881,0.19487986620541478,400,0.34160929017951197,0.19487986620541478,400,0.01909822688813065,0.01909822688813065
ZX_split,10,0.1,0.6244785915879905,0.20364006027556195,400,0.37552140841200954,0.20364006027556195,400,0.01995672590700507,0.01995672590700507
ZX_split,10,0.15,0.599101682841772,0.2134737173849014,400,0.40089831715822805,0.21347371738490137,400,0.020920424303720337,0.020920424303720334
ZX_split,25,0.0,0.735982316429972,0.15981261606100772,400,0.2640176835700279,0.15981261606100772,400,0.015661636373978757,0.015661636373978757
ZX_split,25,0.05,0.7205379244524813,0.1674692320306569,400,0.2794620755475187,0.16746923203065683,400,0.016411984739004376,0.01641198473900437
ZX_split,25,0.1,0.704610481757033,0.18261348086766896,400,0.295389518242967,0.1826134808676689,400,0.01789612112503156,0.017896121125031552
ZX_split,25,0.15,0.6912566011419058,0.17614667064050565,400,0.3087433988580942,0.17614667064050563,400,0.017262373722769554,0.01726237372276955
ZX_split,50,0.0,0.7569597506377193,0.14842398017282757,400,0.24304024936228077,0.14842398017282757,400,0.014545550056937102,0.014545550056937102
ZX_split,50,0.05,0.7494209664993831,0.15185983097418576,400,0.25057903350061694,0.15185983097418584,400,0.014882263435470205,0.014882263435470213
ZX_split,50,0.1,0.7410298579104874,0.15757443212493488,400,0.25897014208951263,0.15757443212493497,400,0.015442294348243618,0.015442294348243627
ZX_split,50,0.15,0.731852847307279,0.16082619098823836,400,0.26814715269272094,0.16082619098823833,400,0.015760966716847357,0.015760966716847354
ZX_split,100,0.0,0.7707428740463607,0.14063508136324737,400,0.22925712595363934,0.14063508136324743,400,0.013782237973598241,0.013782237973598246
ZX_split,100,0.05,0.7683617945872285,0.14102428792626037,400,0.23163820541277144,0.14102428792626037,400,0.013820380216773518,0.013820380216773518
ZX_split,100,0.1,0.7601711494752506,0.14480445513586482,400,0.23982885052474934,0.14480445513586482,400,0.014190836603314752,0.014190836603314752
ZX_split,100,0.15,0.7561844053248719,0.14391030614642206,400,0.2438155946751282,0.1439103061464221,400,0.014103210002349362,0.014103210002349367
Z_only,5,0.0,0.48993842885796524,0.18913747244416276,400,0.5100615711420348,0.18913747244416282,400,0.01853547229952795,0.018535472299527955
Z_only,5,0.05,0.4729414308604391,0.19762769304549843,400,0.527058569139561,0.19762769304549838,400,0.019367513918458847,0.01936751391845884
Z_only,5,0.1,0.45592860824411957,0.20167038463870407,400,0.5440713917558804,0.20167038463870413,400,0.019763697694592998,0.019763697694593005
Z_only,5,0.15,0.43727908794805215,0.2089203419201962,400,0.5627209120519479,0.2089203419201962,400,0.02047419350817923,0.02047419350817923
Z_only,10,0.0,0.5047656150604735,0.1786148119217141,400,0.49523438493952654,0.1786148119217142,400,0.017504251568327984,0.01750425156832799
Z_only,10,0.05,0.4920769996142451,0.18791902600877064,400,0.5079230003857549,0.1879190260087706,400,0.018416064548859523,0.01841606454885952
Z_only,10,0.1,0.4908566248947777,0.1928384759783036,400,0.5091433751052223,0.19283847597830361,400,0.018898170645873753,0.018898170645873756
Z_only,10,0.15,0.4724797918692623,0.20236784480504205,400,0.5275202081307377,0.202367844805042,400,0.019832048790894122,0.019832048790894116
Z_only,25,0.0,0.5261382926711135,0.1601958592641409,400,0.4738617073288865,0.16019585926414093,400,0.01569919420788581,0.015699194207885812
Z_only,25,0.05,0.5184309992127593,0.1678827624026773,400,0.4815690007872407,0.16788276240267735,400,0.016452510715462377,0.01645251071546238
Z_only,25,0.1,0.5193256158346512,0.16623440630103611,400,0.48067438416534886,0.16623440630103611,400,0.01629097181750154,0.01629097181750154
Z_only,25,0.15,0.5113732643270528,0.17229405956466587,400,0.4886267356729473,0.17229405956466587,400,0.016884817837337255,0.016884817837337255
Z_only,50,0.0,0.5299686269028139,0.15696106518609304,400,0.4700313730971862,0.15696106518609307,400,0.01538218438823712,0.015382184388237121
Z_only,50,0.05,0.5309143939220822,0.15646360184669456,400,0.4690856060779178,0.15646360184669456,400,0.015333432980976067,0.015333432980976067
Z_only,50,0.1,0.5321199119574086,0.15415858505023786,400,0.4678800880425914,0.15415858505023797,400,0.01510754133492331,0.015107541334923322
Z_only,50,0.15,0.5269763134669376,0.15826650608387605,400,0.4730236865330623,0.15826650608387602,400,0.015510117596219852,0.01551011759621985
Z_only,100,0.0,0.5369503604511404,0.1490797601792235,400,0.4630496395488596,0.1490797601792235,400,0.014609816497563901,0.014609816497563901
Z_only,100,0.05,0.5368588611453978,0.14975807762247959,400,0.4631411388546022,0.14975807762247953,400,0.014676291607003001,0.014676291607002994
Z_only,100,0.1,0.5354931967511742,0.15157191274087486,400,0.46450680324882576,0.1515719127408749,400,0.014854047448605736,0.01485404744860574
Z_only,100,0.15,0.5336743485513773,0.15367884537696969,400,0.4663256514486227,0.15367884537696969,400,0.015060526846943029,0.015060526846943029
