N,drift_level,delta_final_mean,delta_final_std,delta_tracking_mean,delta_tracking_std,count,rl_tracking_win_rate,rl_final_win_rate,delta_final_ci95,delta_tracking_ci95
10,0.0,-0.12182121767985915,0.268739901967767,-0.056911671696666014,0.25890446539534334,240,0.4375,0.30833333333333335,0.034000288716230787,0.03275593430267337
10,0.0025,-0.08818521496833721,0.2734490046948101,-0.029181480173310053,0.24777887810646118,240,0.4875,0.35,0.03459607241318645,0.03134835330264387
10,0.005,-0.10463200703795049,0.2741560863425661,-0.029335483263112302,0.24940065407576942,240,0.49583333333333335,0.35,0.03468553058442793,0.031553536272443936
10,0.01,-0.12350958034766871,0.24448152319897298,-0.04400845902353756,0.2329222596283106,240,0.45416666666666666,0.3458333333333333,0.030931180348298122,0.0294687317283806
25,0.0,-0.1798217320258528,0.22467807456779706,-0.12782852522584137,0.19402287088249956,240,0.275,0.2125,0.02842569840792819,0.024547280025234906
25,0.0025,-0.2083870023248794,0.2393439815364906,-0.12387374518645462,0.2057939461875901,240,0.3125,0.17916666666666667,0.030281191647189582,0.02603652652693816
25,0.005,-0.20194126407233154,0.23919937821197185,-0.1345814111272023,0.21692921036851556,240,0.2708333333333333,0.2,0.03026289680244578,0.027445331822730745
25,0.01,-0.1954560919619653,0.23372693841609282,-0.15006908684294024,0.2039671826203402,240,0.24166666666666667,0.18333333333333332,0.029570537641488752,0.025805409047739862
50,0.0,-0.17503302668194817,0.20116008354358528,-0.14033566951011042,0.1882827773951105,240,0.24166666666666667,0.175,0.02545026201387595,0.023821058000145418
50,0.0025,-0.1933527498962899,0.21059592050528655,-0.1605464278824429,0.19394570356929308,240,0.21666666666666667,0.14583333333333334,0.02664406010127573,0.024537517013083515
50,0.005,-0.18670612355827357,0.23256796026993773,-0.16763227709944578,0.20221483697341402,240,0.22083333333333333,0.2125,0.0294239066749053,0.025583706734499955
50,0.01,-0.21991063913755346,0.23399493561417758,-0.17392476439071275,0.19692445802328584,240,0.2125,0.1375,0.02960444396519916,0.024914381448580183
100,0.0,-0.17989563008082593,0.21191278825441054,-0.1658297118493205,0.17822350577409307,240,0.19166666666666668,0.19583333333333333,0.026810666858751882,0.02254838454568162
100,0.0025,-0.18587831432767654,0.22798423934332915,-0.1697148400734499,0.18870836748111228,240,0.19166666666666668,0.17083333333333334,0.028843985964366332,0.02387490257511501
100,0.005,-0.18923357369035174,0.2216571153941993,-0.16728394623431267,0.18228509585534525,240,0.16666666666666666,0.16666666666666666,0.028043494338676908,0.02306224658997944
100,0.01,-0.2559816898105198,0.24837059008292042,-0.20700590252472753,0.19788199979914786,240,0.14583333333333334,0.11666666666666667,0.031423215196576086,0.02503552719805309
250,0.0,-0.14554056013999353,0.21350701455750504,-0.15770318082741586,0.17247432539054544,240,0.17083333333333334,0.24583333333333332,0.027012364314869596,0.02182101286960742
250,0.0025,-0.15353049428718032,0.23330326691415088,-0.14487579484415422,0.16270396818409463,240,0.15833333333333333,0.26666666666666666,0.02951693580089348,0.020584892131869426
250,0.005,-0.18940186478740703,0.2315413546933309,-0.1812643991297763,0.1741076678502365,240,0.0625,0.15416666666666667,0.02929402314906212,0.022027659202345295
250,0.01,-0.2575208935070042,0.2740241133503947,-0.24485140963730093,0.185829519781062,240,0.0125,0.1,0.03466883369720085,0.023510678087961975
