N,drift_level,delta_final_mean,delta_final_std,delta_tracking_mean,delta_tracking_std,count,rl_tracking_win_rate,rl_final_win_rate,delta_final_ci95,delta_tracking_ci95
10,0.0,-0.04514180737166422,0.2715317588762696,-0.02560037807808858,0.253290432152043,75,0.48,0.4533333333333333,0.06145342215965275,0.05732502128096635
10,0.0025,0.017853863469823105,0.255095051480029,0.007405443861134532,0.20312150508499344,75,0.56,0.52,0.05773344508324697,0.04597072421049697
10,0.005,-0.04783842099560119,0.2209917192469493,-0.010748205515148782,0.19937905590629823,75,0.49333333333333335,0.4666666666666667,0.050015134409594514,0.04512372822652369
10,0.01,-0.0825477962922586,0.22088574985231754,-0.06539871561222318,0.21941622267873492,75,0.3466666666666667,0.41333333333333333,0.04999115127785604,0.049658565969430274
25,0.0,-6.604601710392381e-05,0.15252473597928437,-0.0007062067419054929,0.10162393596469882,75,0.4533333333333333,0.5466666666666666,0.03451959737128084,0.022999661859848634
25,0.0025,-0.025423018768389698,0.12859784801845317,-0.012313888834001252,0.11143308012846513,75,0.4666666666666667,0.36,0.029104432850898917,0.025219680173049
25,0.005,0.015350910124628227,0.11907147386286901,0.0007945608685067966,0.09686547808884625,75,0.4666666666666667,0.5866666666666667,0.0269484114151129,0.02192272146111265
25,0.01,-0.03677087060027693,0.15547105148462034,-0.03733350959854568,0.12711316817796411,75,0.44,0.44,0.035186411342929165,0.02876841817111675
50,0.0,0.012771682009596315,0.0877175735308055,-0.007866422365876974,0.07590374573186674,75,0.52,0.5466666666666666,0.019852355758743164,0.017178634828071315
50,0.0025,0.009278030743602778,0.11130853712665432,0.0042917806847366305,0.0826439309798021,75,0.5066666666666667,0.5333333333333333,0.02519149343828551,0.01870408235284642
50,0.005,0.020536999269538232,0.101351627359452,-0.018725684684152897,0.09482005920783046,75,0.4533333333333333,0.6266666666666667,0.022938032620804207,0.021459799589621128
50,0.01,0.028019948867008572,0.13678537002371915,0.005596225189476618,0.08061956228272633,75,0.56,0.6,0.030957443520123553,0.018245924586465682
