N,drift_level,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,0.0,1.43125,1.43125,0.3625,0.06875,1.1625,2.0625,2.175,0.1375,1.16875
10,0.0025,1.2625,1.56875,0.375,0.1125,1.1375,2.06875,2.19375,0.11875,1.1625
10,0.005,1.39375,1.35625,0.39375,0.09375,1.18125,2.1,2.16875,0.16875,1.14375
10,0.01,1.35625,1.54375,0.34375,0.1125,1.15625,2.0375,2.175,0.10625,1.16875
25,0.0,1.3125,6.125,0.8875,5.23125,2.2,0.80625,2.56875,0.075,5.79375
25,0.0025,1.3625,5.6875,1.14375,5.1375,2.15625,0.86875,2.875,0.1125,5.65625
25,0.005,1.225,5.6625,0.9375,5.425,2.00625,1.0375,2.68125,0.11875,5.90625
25,0.01,1.325,5.61875,1.23125,5.48125,2.13125,0.76875,2.45625,0.13125,5.85625
50,0.0,8.95625,1.0875,4.3,5.73125,2.38125,6.8125,2.7375,13.05625,4.9375
50,0.0025,8.1,1.06875,4.625,6.5,2.13125,6.65,2.2375,13.425,5.2625
50,0.005,8.3625,1.15,4.66875,5.8625,2.13125,7.4125,2.11875,13.53125,4.7625
50,0.01,7.84375,1.14375,4.85625,6.26875,2.25625,6.8375,2.24375,13.7375,4.8125
