N,drift_level,delta_final_mean,delta_final_std,delta_tracking_mean,delta_tracking_std,count,rl_tracking_win_rate,rl_final_win_rate,delta_final_ci95,delta_tracking_ci95
10,0.0,-0.0008617477658660153,0.22868285351126355,-0.013501057456362426,0.2040491512176339,160,0.475,0.54375,0.035434775267189106,0.03161774355112031
10,0.0025,0.041369961932667385,0.2254402510696834,0.02911869298085658,0.19719014209983285,160,0.5875,0.5,0.03493232881336011,0.03055492907721875
10,0.005,-0.005457820025795135,0.2161036009970859,0.0015575952185869642,0.19423808488762448,160,0.5625,0.475,0.033485599896036264,0.030097503073107185
10,0.01,-0.019188297190135574,0.20422018389249108,-0.004219845487820184,0.21081349185735873,160,0.45625,0.5,0.03164424533865644,0.03266588899236809
25,0.0,0.01577342739951998,0.121160218050088,0.006649649502435873,0.10571796554429064,160,0.54375,0.5625,0.01877397029120522,0.016381168475238874
25,0.0025,8.395073241591194e-06,0.13170857546237003,0.0013206287685011264,0.11724173915983875,160,0.4875,0.55,0.02040845520602544,0.01816679569663787
25,0.005,0.01855214670149396,0.11395825333662217,-0.007282442605087388,0.1056287555593629,160,0.49375,0.55,0.01765801429719224,0.016367345244861227
25,0.01,-0.0021157662490288265,0.12060127434559431,-0.0205828893134563,0.11192128562818862,160,0.44375,0.5125,0.01868736106689463,0.01734238288072791
50,0.0,0.009229230760147566,0.10358529397568181,0.004025644175355382,0.07843465715241973,160,0.5,0.51875,0.016050707592002365,0.012153576040707081
50,0.0025,0.021217093693234882,0.1136838009822171,0.010879368147829619,0.0820881420398071,160,0.59375,0.60625,0.017615487464285564,0.012719689389123327
50,0.005,0.02428355290057611,0.10279868254375642,-0.003548096779416155,0.08499403779355849,160,0.5375,0.60625,0.01592882088784024,0.013169962601141769
50,0.01,0.02535500964762883,0.10715811067622415,0.010773389093708131,0.08301885922365088,160,0.575,0.5875,0.01660432127536644,0.012863905510885123
