plane,method,N,fidelity_mean,infidelity_mean
XY,ORACLE_plane,10,0.920697287940262,0.07930271205973802
XY,ORACLE_plane,25,0.9730346464617088,0.026965353538291312
XY,ORACLE_plane,50,0.9891410952449857,0.010858904755014318
XY,ORACLE_plane,100,0.9934586391387108,0.006541360861289129
XY,ORACLE_plane,250,0.9977554072589012,0.0022445927410987354
XY,ORACLE_plane,500,0.998959828968715,0.0010401710312849905
XY,RL_adaptive,10,0.7672501305365127,0.23274986946348739
XY,RL_adaptive,25,0.9237382278301968,0.07626177216980318
XY,RL_adaptive,50,0.9391812133961231,0.060818786603876816
XY,RL_adaptive,100,0.9731602693806432,0.026839730619356836
XY,RL_adaptive,250,0.9846264105074501,0.015373589492549805
XY,RL_adaptive,500,0.9947757073884373,0.005224292611562722
XY,XYZ_split,10,0.7976079023425549,0.2023920976574452
XY,XYZ_split,25,0.9068335816561804,0.09316641834381964
XY,XYZ_split,50,0.9575424111283376,0.042457588871662344
XY,XYZ_split,100,0.9761870442569468,0.02381295574305317
XY,XYZ_split,250,0.9897949576263748,0.010205042373625264
XY,XYZ_split,500,0.9950665344718868,0.004933465528113289
XY,ZX_split,10,0.6001289427470794,0.3998710572529206
XY,ZX_split,25,0.6567037209183201,0.3432962790816799
XY,ZX_split,50,0.6920766271910259,0.3079233728089741
XY,ZX_split,100,0.702258770163038,0.2977412298369621
XY,ZX_split,250,0.7078528584884329,0.292147141511567
XY,ZX_split,500,0.7103790150518046,0.28962098494819544
XY,Z_only,10,0.25000000000000006,0.75
XY,Z_only,25,0.25,0.75
XY,Z_only,50,0.25000000000000006,0.75
XY,Z_only,100,0.25,0.75
XY,Z_only,250,0.25,0.75
XY,Z_only,500,0.25,0.75
XZ,ORACLE_plane,10,0.9219681735428665,0.0780318264571335
XZ,ORACLE_plane,25,0.9733615910333792,0.026638408966620782
XZ,ORACLE_plane,50,0.987683015795759,0.012316984204240912
XZ,ORACLE_plane,100,0.9931000880902104,0.006899911909789519
XZ,ORACLE_plane,250,0.997488952836751,0.002511047163249004
XZ,ORACLE_plane,500,0.9988646357366397,0.00113536426336033
XZ,RL_adaptive,10,0.7762138218612707,0.22378617813872922
XZ,RL_adaptive,25,0.9064750518025876,0.09352494819741244
XZ,RL_adaptive,50,0.9478526433849105,0.052147356615089534
XZ,RL_adaptive,100,0.9718712103535814,0.028128789646418687
XZ,RL_adaptive,250,0.9844082190741701,0.015591780925829997
XZ,RL_adaptive,500,0.9948203075413684,0.005179692458631616
XZ,XYZ_split,10,0.8190754778616962,0.18092452213830382
XZ,XYZ_split,25,0.9162864702536578,0.08371352974634223
XZ,XYZ_split,50,0.9510698337192678,0.04893016628073223
XZ,XYZ_split,100,0.9742010412953913,0.02579895870460873
XZ,XYZ_split,250,0.9908701656754326,0.009129834324567394
XZ,XYZ_split,500,0.9957714005172918,0.00422859948270807
XZ,ZX_split,10,0.9340650254915934,0.06593497450840655
XZ,ZX_split,25,0.9748962373546857,0.025103762645314248
XZ,ZX_split,50,0.9849933509928535,0.015006649007146489
XZ,ZX_split,100,0.9934745968398608,0.0065254031601391675
XZ,ZX_split,250,0.997880667755511,0.002119332244488982
XZ,ZX_split,500,0.9988358803282037,0.001164119671796312
XZ,Z_only,10,0.7341507376117009,0.2658492623882991
XZ,Z_only,25,0.7375455821381388,0.26245441786186124
XZ,Z_only,50,0.7425113018348343,0.25748869816516584
XZ,Z_only,100,0.7425113018348343,0.25748869816516584
XZ,Z_only,250,0.7425113018348343,0.25748869816516584
XZ,Z_only,500,0.7425113018348343,0.25748869816516584
YZ,ORACLE_plane,10,0.9297204509549017,0.07027954904509819
YZ,ORACLE_plane,25,0.9751511749211479,0.024848825078852076
YZ,ORACLE_plane,50,0.9880893566239416,0.011910643376058492
YZ,ORACLE_plane,100,0.9939688297850737,0.006031170214926255
YZ,ORACLE_plane,250,0.9972678949651834,0.002732105034816607
YZ,ORACLE_plane,500,0.9986765696045203,0.001323430395479736
YZ,RL_adaptive,10,0.7664689166836475,0.23353108331635253
YZ,RL_adaptive,25,0.9142123102632106,0.08578768973678944
YZ,RL_adaptive,50,0.9387810220682891,0.061218977931710994
YZ,RL_adaptive,100,0.9735280179193517,0.02647198208064835
YZ,RL_adaptive,250,0.9807521101549997,0.019247889845000227
YZ,RL_adaptive,500,0.9930938039836593,0.006906196016340662
YZ,XYZ_split,10,0.82369678850886,0.1763032114911401
YZ,XYZ_split,25,0.9109461427307285,0.08905385726927158
YZ,XYZ_split,50,0.9578712552574121,0.04212874474258785
YZ,XYZ_split,100,0.9768376952888769,0.02316230471112311
YZ,XYZ_split,250,0.9909024058040534,0.009097594195946612
YZ,XYZ_split,500,0.9954797494270853,0.004520250572914711
YZ,ZX_split,10,0.5969476529585565,0.4030523470414435
YZ,ZX_split,25,0.677393518755441,0.3226064812445591
YZ,ZX_split,50,0.7001026486709154,0.29989735132908446
YZ,ZX_split,100,0.7073574373849473,0.2926425626150528
YZ,ZX_split,250,0.7164146730531339,0.2835853269468661
YZ,ZX_split,500,0.7201931811392306,0.2798068188607694
YZ,Z_only,10,0.7226791189140392,0.2773208810859608
YZ,Z_only,25,0.717562796900803,0.28243720309919695
YZ,Z_only,50,0.7226791189140392,0.2773208810859608
YZ,Z_only,100,0.7226791189140392,0.2773208810859608
YZ,Z_only,250,0.7226791189140392,0.2773208810859608
YZ,Z_only,500,0.7226791189140392,0.2773208810859608
