method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std
ORACLE_plane,10,0.9231907380445246,0.08723312315202057,0.07680926195547545,0.0872331231520205
ORACLE_plane,25,0.9736310605514535,0.02786578703402875,0.026368939448546472,0.027865787034028745
ORACLE_plane,50,0.9883264809686654,0.012539297353519186,0.011673519031334675,0.012539297353519186
ORACLE_plane,100,0.9934274606615106,0.0066202947001668564,0.006572539338489452,0.0066202947001668564
ORACLE_plane,250,0.9975415727854232,0.0023326807827332386,0.0024584272145767743,0.002332680782733241
ORACLE_plane,500,0.998859434615762,0.001239266868464397,0.0011405653842379703,0.0012392668684643828
RL_adaptive,10,0.7706637400187856,0.16667542746943617,0.22933625998121446,0.1666754274694362
RL_adaptive,25,0.9147372555544162,0.06079205657474627,0.08526274444558385,0.060792056574746275
RL_adaptive,50,0.9425617432995146,0.04409303072544016,0.05743825670048543,0.04409303072544018
RL_adaptive,100,0.9727255504483343,0.022725770998840718,0.027274449551665712,0.022725770998840714
RL_adaptive,250,0.983686787856599,0.01362877244664259,0.016313212143400976,0.013628772446642585
RL_adaptive,500,0.9944235287005586,0.004718432671412243,0.005576471299441426,0.004718432671412217
XYZ_split,10,0.8119344875067985,0.13960114589368441,0.1880655124932015,0.13960114589368444
XYZ_split,25,0.9115195005315719,0.0625539306505284,0.0884804994684281,0.06255393065052839
XYZ_split,50,0.9550257258731061,0.03232530398901923,0.04497427412689391,0.03232530398901922
XYZ_split,100,0.9755357862993492,0.017278742969857812,0.024464213700650782,0.017278742969857805
XYZ_split,250,0.9904686794450872,0.006615350326398012,0.009531320554912811,0.00661535032639799
XYZ_split,500,0.9954393881801925,0.0036245537769148154,0.004560611819807514,0.003624553776914819
ZX_split,10,0.7330034920914099,0.2116931348244657,0.26699650790859003,0.21169313482446558
ZX_split,25,0.7885324830170329,0.18158746488810648,0.21146751698296706,0.1815874648881065
ZX_split,50,0.8110090414373328,0.1610977886124797,0.18899095856266732,0.16109778861247973
ZX_split,100,0.8198668076225871,0.16161316711719217,0.18013319237741288,0.16161316711719217
ZX_split,250,0.8257475813994983,0.15962808021120645,0.17425241860050159,0.15962808021120645
ZX_split,500,0.827920877701598,0.15866699880934582,0.17207912229840208,0.15866699880934582
Z_only,10,0.5476497012057691,0.25368563230398355,0.452350298794231,0.2536856323039836
Z_only,25,0.5478820481734321,0.25276120465496094,0.45211795182656783,0.25276120465496094
Z_only,50,0.5509939268950224,0.2514954120571026,0.4490060731049777,0.2514954120571025
Z_only,100,0.5509939268950224,0.2514954120571026,0.4490060731049777,0.2514954120571025
Z_only,250,0.5509939268950222,0.2514954120571026,0.4490060731049777,0.2514954120571025
Z_only,500,0.5509939268950222,0.2514954120571026,0.4490060731049777,0.2514954120571025
