plane,N,inactive_fraction_q1,inactive_fraction_q2
XY,10,0.3288888888888889,0.31333333333333335
XY,25,0.5093333333333334,0.20844444444444446
XY,50,0.17355555555555555,0.1728888888888889
XY,100,0.6904444444444444,0.18433333333333332
XY,250,0.12417777777777778,0.6059111111111111
XY,500,0.10406666666666667,0.6451111111111112
XZ,10,0.3357142857142857,0.3242857142857143
XZ,25,0.2571428571428571,0.5474285714285715
XZ,50,0.15,0.5840000000000001
XZ,100,0.14885714285714285,0.6588571428571429
XZ,250,0.08725714285714285,0.11885714285714286
XZ,500,0.09937142857142858,0.12297142857142858
YZ,10,0.3677777777777778,0.3422222222222222
YZ,25,0.22577777777777777,0.22044444444444444
YZ,50,0.6775555555555556,0.20422222222222222
YZ,100,0.16344444444444445,0.16333333333333336
YZ,250,0.6654222222222222,0.12675555555555554
YZ,500,0.6627777777777778,0.08113333333333334
