N,noise,delta_mean,delta_std,count,rl_win_rate,delta_ci95
5,0.0,0.006906074618300515,0.284491700100367,400,0.51,0.027880186609835968
5,0.05,0.006234955618087257,0.30817081177498723,400,0.5125,0.030200739553948745
5,0.1,0.03543519796952942,0.3320420705401037,400,0.52,0.03254012291293017
5,0.15,0.0016324426798653298,0.3572624447205559,400,0.53,0.035011719582614474
10,0.0,-0.021080482957311828,0.20298731670028705,400,0.4675,0.01989275703662813
10,0.05,-0.003549732647205332,0.24760381774311518,400,0.4825,0.02426517413882529
10,0.1,-3.6959552070221084e-05,0.27697093233443887,400,0.49,0.027143151368775008
10,0.15,0.014749932485190303,0.30425769745400366,400,0.5425,0.029817254350492355
25,0.0,0.0008578688620668761,0.08375175732203248,400,0.5125,0.008207672217559182
25,0.05,-0.01577493144725925,0.1325071463440366,400,0.4725,0.012985700341715586
25,0.1,-0.005144041479920005,0.16416609564878193,400,0.47,0.01608827737358063
25,0.15,0.009167168256793918,0.1884544624157073,400,0.5125,0.018468537316739315
50,0.0,-0.0031148210062977464,0.05343475488366832,400,0.4725,0.005236605978599496
50,0.05,-0.001990737484233002,0.06398395132529221,400,0.4825,0.006270427229878636
50,0.1,-0.0031909344749588985,0.08266637103058809,400,0.49,0.008101304360997633
50,0.15,-0.0067610818438590915,0.10719958071521447,400,0.4975,0.010505558910091018
100,0.0,-0.005768252240492322,0.029817622489699,400,0.435,0.0029221270039905016
100,0.05,-0.004756783875243548,0.03759298848451481,400,0.435,0.003684112871482451
100,0.1,-0.008950872305911269,0.05080207848992973,400,0.45,0.004978603692013113
100,0.15,-0.013826808768294698,0.06544160879184682,400,0.4575,0.006413277661600989
