state_group,state1,state2,seed,N,noise,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
extreme,Z_plus,Z_plus,0,5,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.0,ZX_split,0.8316526181217495,0.1683473818782505,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.0,XYZ_split,0.665739294480206,0.33426070551979403,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.0,RL_adaptive,0.6731763352100091,0.3268236647899909,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,0,5,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.05,ZX_split,0.48717082451262855,0.5128291754873715,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.05,XYZ_split,0.7125446534374215,0.28745534656257854,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.05,RL_adaptive,0.6220084679281462,0.37799153207185376,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
extreme,Z_plus,Z_plus,0,5,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.1,ZX_split,0.9493416490252569,0.05065835097474314,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.1,XYZ_split,0.13157894736842105,0.868421052631579,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.1,RL_adaptive,0.6731763352100091,0.3268236647899909,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,0,5,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.15,ZX_split,0.48717082451262855,0.5128291754873715,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.15,XYZ_split,0.7125446534374215,0.28745534656257854,,,,,,,,,
extreme,Z_plus,Z_plus,0,5,0.15,RL_adaptive,0.39433756729740654,0.6056624327025935,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,0,10,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.0,ZX_split,0.9806749532300754,0.019325046769924636,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.0,XYZ_split,0.9047458169520242,0.09525418304797584,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.0,RL_adaptive,0.947213595499958,0.05278640450004202,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,0,10,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.05,ZX_split,0.9197286484747138,0.0802713515252862,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.05,XYZ_split,0.9047458169520242,0.09525418304797584,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.05,RL_adaptive,0.7112944921610613,0.28870550783893867,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,0,10,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.1,ZX_split,0.9049163601457547,0.09508363985424528,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.1,XYZ_split,0.6894973661051663,0.3105026338948337,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.1,RL_adaptive,0.6731763352100091,0.3268236647899909,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0
extreme,Z_plus,Z_plus,0,10,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.15,ZX_split,0.8316526181217495,0.1683473818782505,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.15,XYZ_split,0.811951374187714,0.18804862581228599,,,,,,,,,
extreme,Z_plus,Z_plus,0,10,0.15,RL_adaptive,0.6337938003860578,0.3662061996139422,1.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0
extreme,Z_plus,Z_plus,0,25,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.0,ZX_split,0.9857416983741929,0.014258301625807102,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.0,XYZ_split,0.8307706723532943,0.16922932764670573,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.0,RL_adaptive,0.9328098340458957,0.06719016595410432,1.0,0.0,6.0,0.0,7.0,0.0,9.0,1.0,1.0
extreme,Z_plus,Z_plus,0,25,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.05,ZX_split,0.9525747117428661,0.04742528825713388,,,,,,,,,
extreme,Z_plus,Z_plus,0,25,0.05,XYZ_split,0.9648689690127602,0.0351310309872398,,,,,,,,,
