state_group,target_id,seed,N,noise,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
uniform,0,0,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.5859121981647001,0.4140878018352999,,,,,,,,,
uniform,0,0,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.706023080852961,0.29397691914703905,,,,,,,,,
uniform,0,0,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.7043303780264855,0.29566962197351454,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
uniform,0,0,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.4909429832556455,0.5090570167443544,,,,,,,,,
uniform,0,0,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.6709177698236267,0.3290822301763733,,,,,,,,,
uniform,0,0,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.5887648192344738,0.41123518076552623,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
uniform,0,0,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.4909429832556455,0.5090570167443544,,,,,,,,,
uniform,0,0,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.7882555005299732,0.21174449947002683,,,,,,,,,
uniform,0,0,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.5827204976829262,0.4172795023170738,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
uniform,0,0,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.2693214047577643,0.7306785952422357,,,,,,,,,
uniform,0,0,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8333502353615626,0.1666497646384374,,,,,,,,,
uniform,0,0,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8586809727824052,0.14131902721759482,,,,,,,,,
uniform,0,0,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.5827204976829262,0.4172795023170738,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
uniform,0,0,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9172561907669295,0.08274380923307045,,,,,,,,,
uniform,0,0,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8918126243471507,0.1081873756528493,,,,,,,,,
uniform,0,0,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.7631083755904139,0.2368916244095861,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0
uniform,0,0,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9313143525601547,0.06868564743984529,,,,,,,,,
uniform,0,0,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.2533941903913607,0.7466058096086393,,,,,,,,,
