method,N,drift_level,final_fidelity_mean,final_fidelity_std,final_fidelity_count,tracking_fidelity_mean,tracking_fidelity_std,tracking_fidelity_count,final_fidelity_ci95,tracking_fidelity_ci95
Balanced_random,10,0.0,0.7529526193420584,0.19027073927854815,160,0.630825704653381,0.15214357845893944,160,0.02948275650200947,0.023574891725640184
Balanced_random,10,0.0025,0.7689724131754269,0.16734233255006378,160,0.6287780740042072,0.14083743573694085,160,0.02592996307135319,0.021822986760570057
Balanced_random,10,0.005,0.7795114805418859,0.15914438200871503,160,0.6653901531949927,0.13187116845879568,160,0.02465967747440564,0.020433649251839978
Balanced_random,10,0.01,0.7487548519668,0.19912054791641198,160,0.6465879071821281,0.16112732081798622,160,0.03085404855747129,0.024966937026209564
Balanced_random,25,0.0,0.8758812104644059,0.09945741676952842,160,0.7524429948145122,0.09105945840877844,160,0.015411086392228447,0.014109809262582474
Balanced_random,25,0.0025,0.8666264740076018,0.10765059041282037,160,0.7574451807557827,0.08788721565071339,160,0.01668063180115351,0.013618265154665932
Balanced_random,25,0.005,0.8634537809180166,0.10265039206542907,160,0.7532150320145851,0.09233309305345429,160,0.015905843040165558,0.014307160995402145
Balanced_random,25,0.01,0.853414658842888,0.10598925486454658,160,0.7713049588249029,0.08208653526996353,160,0.016423205190926368,0.012719440417556639
Balanced_random,50,0.0,0.8869488576554077,0.09071120528170411,160,0.8216524941179086,0.06075620540820594,160,0.014055846881474758,0.009414271562869574
Balanced_random,50,0.0025,0.885874075637191,0.07718633040717088,160,0.8157924034463762,0.05304592798659591,160,0.011960145807531615,0.008219551698710728
Balanced_random,50,0.005,0.8769830573672847,0.08922707244481086,160,0.8096004676842693,0.05951657546565291,160,0.013825878115848097,0.009222188913233223
Balanced_random,50,0.01,0.8749198203969083,0.09210297485632239,160,0.8120779164622762,0.0629214166332313,160,0.014271503811336714,0.009749774518105306
RL_adaptive,10,0.0,0.7727059936130454,0.15532830041300363,160,0.6530057095106062,0.157599299632996,160,0.024068369505010248,0.024420264479892685
RL_adaptive,10,0.0025,0.7804743183404395,0.16682433361564014,160,0.6700263080483706,0.15440037280090294,160,0.02584969830489556,0.023924585631868275
RL_adaptive,10,0.005,0.8006323003721214,0.14102380137245987,160,0.6805257683336475,0.15561478566939474,160,0.02185186441497548,0.024112760855396653
RL_adaptive,10,0.01,0.7873657703368819,0.15174524317219168,160,0.6722609906901565,0.13330126247436253,160,0.02351316903349176,0.020655244615350985
RL_adaptive,25,0.0,0.8861359874273125,0.0816794445362842,160,0.7856791969261063,0.07748062253085383,160,0.012656361054850632,0.012005746844537635
RL_adaptive,25,0.0025,0.8795608746600946,0.09315625911313415,160,0.7778229991405616,0.08149096628872833,160,0.014434711897817733,0.012627156047818625
RL_adaptive,25,0.005,0.8949750618458792,0.07714013178558715,160,0.7786132354266679,0.08644718335759437,160,0.011952987256952341,0.013395129839093817
RL_adaptive,25,0.01,0.8857564312069298,0.10067887108327617,160,0.780404056887897,0.08426499586514194,160,0.015600352699003206,0.013056996383967439
RL_adaptive,50,0.0,0.9200389026884407,0.05653085989107991,160,0.8378821888333616,0.05950649324334289,160,0.008759547491839862,0.009220626656700807
RL_adaptive,50,0.0025,0.9182021850554859,0.06733303760746208,160,0.8351707851693876,0.056102752550902975,160,0.010433362270250377,0.008693211572218076
RL_adaptive,50,0.005,0.9093651410573876,0.059644836743961344,160,0.835397088749024,0.053283371825200765,160,0.009242063204211134,0.008256344002682603
RL_adaptive,50,0.01,0.904604756682082,0.06515162130457744,160,0.8300050764996152,0.05865752190298282,160,0.010095348312185557,0.009089077184617357
XYZ_interleaved,10,0.0,0.7772848801472126,0.16692909392741836,160,0.6630031266405696,0.14212067237103182,160,0.02586593108338238,0.022021826337064142
XYZ_interleaved,10,0.0025,0.7666263354811566,0.1772378745856347,160,0.6677852496606238,0.13241406118337956,160,0.027463293195555995,0.020517771351046137
