N,drift_level,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,0.0,1.09375,1.15625,0.1375,0.05625,1.25,2.53125,2.1125,0.59375,1.06875
10,0.0025,1.18125,0.91875,0.16875,0.0625,1.325,2.51875,2.08125,0.675,1.06875
10,0.005,1.11875,1.1375,0.11875,0.06875,1.30625,2.46875,2.3,0.3875,1.09375
10,0.01,1.1625,0.95625,0.11875,0.05625,1.20625,2.5375,2.1375,0.74375,1.08125
25,0.0,2.01875,5.5625,0.875,6.6625,1.525,0.25,0.425,0.2125,7.46875
25,0.0025,1.88125,5.35625,0.96875,6.70625,1.575,0.2,0.43125,0.25,7.63125
25,0.005,1.8875,5.2375,1.01875,6.76875,1.575,0.225,0.41875,0.2,7.66875
25,0.01,1.93125,5.23125,0.975,6.6625,1.60625,0.275,0.5,0.125,7.69375
50,0.0,4.625,4.225,7.06875,1.2125,11.1,2.9375,14.875,1.5625,2.39375
50,0.0025,4.7,4.74375,7.36875,1.00625,10.60625,2.94375,14.775,1.43125,2.425
50,0.005,4.2,5.03125,6.975,0.8375,10.84375,3.0875,15.0125,1.45625,2.55625
50,0.01,4.39375,4.425,7.15625,0.9375,10.65,3.26875,14.975,1.7625,2.43125
