N,drift_level,delta_final_mean,delta_final_std,delta_tracking_mean,delta_tracking_std,count,rl_tracking_win_rate,rl_final_win_rate,delta_final_ci95,delta_tracking_ci95
10,0.0,-0.004578886534167268,0.23241629041477743,-0.009997417129963323,0.212551269538346,160,0.475,0.45625,0.036013277308854987,0.03293516043377542
10,0.0025,0.013847982859282806,0.2347809459626738,0.002241058387746849,0.1967102945965547,160,0.53125,0.4875,0.03637968448209717,0.03048057593626345
10,0.005,0.007858115206644204,0.20861478053283442,0.0002909378481186123,0.21452035836087802,160,0.54375,0.45625,0.032325195142935664,0.033240273907900054
10,0.01,-0.021181305130758114,0.19725435934007118,-0.009436823794008033,0.18165623752479282,160,0.48125,0.4625,0.030564879641684715,0.028147925625989764
25,0.0,0.011765306825151317,0.1223899315894335,0.0033130076098744398,0.10785489996503406,160,0.55,0.5,0.018964516378245283,0.016712289894257003
25,0.0025,-0.002790009231931965,0.12754218889272015,0.008443526293050807,0.11612365251812597,160,0.48125,0.48125,0.0197628669185568,0.01799354637658604
25,0.005,0.016860632825761696,0.12231516744149061,0.0025759522469918114,0.12194557054936915,160,0.5125,0.525,0.01895293155349904,0.018895661921733097
25,0.01,0.008372895110027445,0.12898563809310304,-0.0014231260542822096,0.11489166855896961,160,0.5375,0.56875,0.01998653168939478,0.01780264848435147
50,0.0,0.023377512269068243,0.09219668458107953,0.006092426481700656,0.07518774806989886,160,0.56875,0.59375,0.014286024283624577,0.011650462265950656
50,0.0025,0.029494829520597725,0.10513190259928604,0.010372824591999032,0.07362900025387445,160,0.55,0.65,0.016290357081075287,0.011408931789524594
50,0.005,0.02366060200046342,0.10102479053035161,0.001626596061671682,0.0741137035532844,160,0.53125,0.5875,0.015653953472648724,0.011484037343885761
50,0.01,0.02511618307264356,0.10670060421095247,0.007326200115014669,0.08045366552381819,160,0.5375,0.5875,0.01653342991411539,0.012466424629066828
