strategy,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std,theta_error_mean,theta_error_std
ZX_split,10,0.9598417515482566,0.05827158690560749,0.04015824845174349,0.05827158690560749,0.3295219918167388,0.244933542222849
ZX_split,25,0.9859080453902994,0.019067427346601162,0.014091954609700613,0.019067427346601155,0.1906759768149481,0.14445571169952154
ZX_split,50,0.9930872849596937,0.009697299895979465,0.006912715040306385,0.009697299895979429,0.13289210465203308,0.10111185674782462
ZX_split,100,0.9956667850643136,0.0055378865846248924,0.004333214935686485,0.005537886584624895,0.10632277585472834,0.07822488387016191
ZX_split,250,0.9985319325448789,0.0020970544522405277,0.0014680674551210066,0.0020970544522405246,0.06088826003255667,0.046715825991320827
ZX_split,500,0.9991966354213424,0.001103967724905493,0.0008033645786576345,0.0011039677249054935,0.04487209258146447,0.03474573703887345
ZX_split,1000,0.9996079982288766,0.0005315081197706144,0.0003920017711234332,0.000531508119770615,0.0314704257864537,0.02409402462483202
Z_only,10,0.7463328112999794,0.34762791366781914,0.2536671887000206,0.34762791366781914,0.8749991934361688,0.9321512354923865
Z_only,25,0.7309912013537876,0.35629922331628056,0.26900879864621247,0.3562992233162805,0.8947801260820373,0.9787946942776709
Z_only,50,0.7299239235782817,0.35941831123449447,0.2700760764217183,0.3594183112344945,0.8862857743735283,0.997916545241635
Z_only,100,0.7267480924857657,0.3603415998156014,0.27325190751423434,0.3603415998156014,0.8854349921150351,1.009750323416316
Z_only,250,0.7254273673417383,0.36366821320863946,0.27457263265826165,0.3636682132086394,0.880151464330898,1.027098545670416
Z_only,500,0.727798365002067,0.3618505977322405,0.2722016349979331,0.3618505977322405,0.8614127555970472,1.0285134160150362
Z_only,1000,0.727499261176713,0.36283248090198544,0.27250073882328696,0.36283248090198544,0.8584457439661686,1.0363510812160368
