method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std,theta_error_mean,theta_error_std,z_shots_mean,x_shots_mean
RL_adaptive,10,0.9688047967880825,0.039923565905392144,0.03119520321191749,0.03992356590539214,0.2898849017797152,0.21118799781829478,4.82,5.18
RL_adaptive,25,0.9848421982682501,0.0219277020740448,0.01515780173174988,0.021927702074044784,0.19761950862124852,0.15051573988031566,12.388,12.612
RL_adaptive,50,0.9934385095193026,0.010160214302983615,0.006561490480697452,0.010160214302983608,0.12644579098109487,0.10245856781979104,26.84,23.16
RL_adaptive,100,0.9963877111118467,0.0050965726563514556,0.003612288888153315,0.005096572656351452,0.09830863135548068,0.06968799581842182,59.516,40.484
RL_adaptive,250,0.9989808613956638,0.0014637538978035229,0.0010191386043362236,0.0014637538978035177,0.050790015461048055,0.03882266742548195,132.148,117.852
RL_adaptive,500,0.9992690259139968,0.0010719438413671855,0.0007309740860032963,0.0010719438413671946,0.042435249580534566,0.03361410722095923,274.828,225.172
ZX_split,10,0.9613807972625019,0.07788035338605329,0.03861920273749807,0.07788035338605327,0.315711559789913,0.27761268755789326,5.0,5.0
ZX_split,25,0.9852462377590311,0.021860223747974045,0.01475376224096897,0.021860223747974063,0.19367667650340864,0.1502140751818251,12.0,13.0
ZX_split,50,0.9932828389794863,0.00978374325856831,0.006717161020513707,0.00978374325856832,0.12889585495775113,0.10240600564500622,25.0,25.0
ZX_split,100,0.996893118616836,0.004450567763743646,0.0031068813831639443,0.004450567763743631,0.08795975837080496,0.06891356773500704,50.0,50.0
ZX_split,250,0.9983977130804835,0.002448204063520909,0.0016022869195164234,0.002448204063520916,0.0625087442566808,0.05023279521878391,125.0,125.0
ZX_split,500,0.9992620520150284,0.0012129977167547473,0.0007379479849715986,0.0012129977167547482,0.04147956435926915,0.0351977286083893,250.0,250.0
Z_only,10,0.7952291935855262,0.31137696704843004,0.2047708064144738,0.3113769670484301,0.748375106938475,0.8402637888389448,10.0,0.0
Z_only,25,0.8060719461268876,0.3021026212271925,0.19392805387311246,0.3021026212271925,0.6841207379653206,0.8298302031083372,25.0,0.0
Z_only,50,0.8068400849463958,0.3031715021012053,0.1931599150536042,0.3031715021012053,0.6672708851387242,0.8447309656185074,50.0,0.0
Z_only,100,0.8056503592480105,0.30417306615402045,0.19434964075198943,0.30417306615402057,0.656531796500152,0.85667636971633,100.0,0.0
Z_only,250,0.8075175133481389,0.3040182669517151,0.19248248665186107,0.3040182669517151,0.6426718523220882,0.8644762180854054,250.0,0.0
Z_only,500,0.8063991701828873,0.3053303068931564,0.1936008298171126,0.3053303068931564,0.6370093461229478,0.8683746108114581,500.0,0.0
