method,N,fidelity_mean,fidelity_std,infidelity_mean,infidelity_std,x_shots_mean,y_shots_mean,z_shots_mean
RL_adaptive,10,0.894182683677666,0.10683611943673599,0.10581731632233406,0.10683611943673588,3.1,4.228,2.672
RL_adaptive,25,0.9512754701544968,0.04644933707380882,0.04872452984550317,0.04644933707380883,9.82,7.308,7.872
RL_adaptive,50,0.9762720363825143,0.023435651444596823,0.023727963617485765,0.023435651444596823,17.428,15.112,17.46
RL_adaptive,100,0.9879762767515233,0.012736018136706247,0.012023723248476741,0.01273601813670622,38.908,30.396,30.696
RL_adaptive,250,0.9951768561997475,0.004902405361938653,0.004823143800252547,0.004902405361938666,83.528,79.916,86.556
RL_adaptive,500,0.9975806640529113,0.0024831125191708283,0.00241933594708862,0.00248311251917083,175.116,185.32,139.564
XYZ_split,10,0.9044097653321415,0.10701874995694045,0.0955902346678586,0.10701874995694043,3.0,4.0,3.0
XYZ_split,25,0.956057886115242,0.053941100296654235,0.04394211388475793,0.05394110029665428,8.0,9.0,8.0
XYZ_split,50,0.9781495578946143,0.024995979031313415,0.02185044210538575,0.024995979031313422,16.0,18.0,16.0
XYZ_split,100,0.9861011848514397,0.017007129437968727,0.013898815148560255,0.01700712943796873,33.0,34.0,33.0
XYZ_split,250,0.9952751293634077,0.00559927514668017,0.004724870636592243,0.0055992751466801705,83.0,84.0,83.0
XYZ_split,500,0.9977023261968802,0.0023076873660539407,0.0022976738031199443,0.002307687366053949,166.0,168.0,166.0
ZX_split,10,0.8288321442867118,0.15685350592300532,0.17116785571328816,0.15685350592300532,5.0,0.0,5.0
ZX_split,25,0.8538302226522507,0.1441384334180483,0.1461697773477493,0.1441384334180483,13.0,0.0,12.0
ZX_split,50,0.8637362371522682,0.1351126543203977,0.13626376284773178,0.1351126543203977,25.0,0.0,25.0
ZX_split,100,0.872412265173256,0.12745011621009572,0.12758773482674407,0.12745011621009575,50.0,0.0,50.0
ZX_split,250,0.8769499319064602,0.12343519758002866,0.12305006809353979,0.12343519758002866,125.0,0.0,125.0
ZX_split,500,0.8787009703651447,0.12143904218303812,0.12129902963485525,0.1214390421830381,250.0,0.0,250.0
Z_only,10,0.7228097693971363,0.17310377786105566,0.27719023060286374,0.17310377786105557,0.0,0.0,10.0
Z_only,25,0.7338978004243494,0.15773583266083743,0.26610219957565057,0.15773583266083746,0.0,0.0,25.0
Z_only,50,0.7365100829877878,0.15377522394731089,0.26348991701221225,0.15377522394731083,0.0,0.0,50.0
Z_only,100,0.7404746637164791,0.14747264291731552,0.2595253362835209,0.14747264291731552,0.0,0.0,100.0
Z_only,250,0.7409076738555475,0.14676137044147652,0.25909232614445254,0.1467613704414765,0.0,0.0,250.0
Z_only,500,0.7420490687981767,0.14486352763004529,0.25795093120182333,0.14486352763004529,0.0,0.0,500.0
