method,N,n_trials,fidelity_mean,fidelity_ci95_low,fidelity_ci95_high,infidelity_mean,infidelity_ci95_low,infidelity_ci95_high,theta_error_mean,theta_error_ci95_low,theta_error_ci95_high,z_fraction_mean,z_fraction_ci95_low,z_fraction_ci95_high,x_fraction_mean
Z_only,10,2000,0.730569176164348,0.7153071545547507,0.7458407532708469,0.26943082383565187,0.25405646214879046,0.2851360321931863,0.926294980552892,0.8833780900244768,0.9686549193066897,1.0,1.0,1.0,0.0
Z_only,25,2000,0.7285180677510654,0.7126407050796899,0.7441666870517811,0.2714819322489345,0.25564457724738315,0.2873908997984844,0.906365534993948,0.8623159964895154,0.9514418959983224,1.0,1.0,1.0,0.0
Z_only,50,2000,0.7304162246976856,0.7142893401196644,0.7466237663707088,0.26958377530231437,0.25334542698716717,0.2856888444279255,0.8828860651696209,0.8386293537462445,0.926201491062514,1.0,1.0,1.0,0.0
Z_only,100,2000,0.7314338143977254,0.7150320875217288,0.747656831109585,0.26856618560227474,0.2527624829428235,0.28448307287946367,0.8664469232743731,0.8221185470275457,0.9102585476541614,1.0,1.0,1.0,0.0
Z_only,250,2000,0.7313864996091499,0.7149467129453939,0.7475581447612084,0.2686135003908501,0.25275239932064597,0.2845414527070691,0.8576550056006603,0.8120875443844303,0.9023084584409531,1.0,1.0,1.0,0.0
Z_only,500,2000,0.7313213088500191,0.7151999887086546,0.7471075367359523,0.2686786911499809,0.25289250850761075,0.2847940878598643,0.851302030234709,0.8053906828698828,0.896416546197115,1.0,1.0,1.0,0.0
ZX_split,10,2000,0.9640031952812135,0.9616279828204071,0.9662713129341695,0.035996804718786524,0.033695246971523325,0.03843922434313996,0.30182225773134835,0.2909586680195593,0.31254175027380915,0.5,0.5,0.5,0.5
ZX_split,25,2000,0.9852393502429776,0.9842796139588619,0.9861735790453259,0.014760649757022425,0.013805352989578802,0.015735552792548617,0.1928339618859995,0.18605983784554034,0.19945755229515716,0.4800000000000002,0.4800000000000002,0.4800000000000002,0.5199999999999998
ZX_split,50,2000,0.9922863923668135,0.9917742698900787,0.9927866002808967,0.007713607633186467,0.007207918021328781,0.008227446656645725,0.13948792362945117,0.13489646901133828,0.1442577090151196,0.5,0.5,0.5,0.5
ZX_split,100,2000,0.9962553006147504,0.9959919010126875,0.9965093166165904,0.0037446993852494996,0.0034904575977686204,0.00401170633891682,0.09678008207577639,0.09347323728887058,0.10007600939390113,0.5,0.5,0.5,0.5
ZX_split,250,2000,0.9984934096511764,0.9983947421022678,0.9985877103317543,0.0015065903488235988,0.0014103596208614835,0.0016038748602112663,0.06210802862935327,0.06012615660265338,0.0641333939014864,0.5,0.5,0.5,0.5
ZX_split,500,2000,0.999216842055365,0.9991644626069964,0.9992679899432222,0.0007831579446350657,0.0007325232596860161,0.0008353397098457864,0.043979690512376185,0.04248614213399685,0.045521742854027984,0.5,0.5,0.5,0.5
RL_adaptive,10,2000,0.9669886663804298,0.9647290296434151,0.9691994507701391,0.03301133361957025,0.03088109980845511,0.035315743229521225,0.29412773784671353,0.2843227231061024,0.3043783080410917,0.4875,0.48410000000000003,0.4909,0.5125
RL_adaptive,25,2000,0.9864365014042298,0.9855303266880762,0.9872893575054971,0.013563498595770246,0.012698085514856803,0.0144964577701395,0.18629742708942634,0.18013792198789913,0.19272567534614302,0.5020800000000001,0.49976000000000004,0.50434,0.4979199999999999
RL_adaptive,50,2000,0.992912391997763,0.9924532057816349,0.9933551152288244,0.00708760800223695,0.006646757607679959,0.007539199840150677,0.13460529587454995,0.130239771959971,0.1390523624350425,0.54117,0.5400900000000001,0.54222,0.45882999999999996
RL_adaptive,100,2000,0.9965401532214143,0.9963057659012674,0.9967624711249176,0.0034598467785857574,0.003231015734529659,0.0037005123722266124,0.09286614376258288,0.08964176257370496,0.09602520170468268,0.61184,0.609215,0.6144449999999999,0.38815999999999995
RL_adaptive,250,2000,0.9986044456135272,0.9985160115476709,0.9986929522256004,0.0013955543864728277,0.0013089727389467326,0.001486247865996854,0.05944038892080795,0.057464702913045555,0.06142504613537411,0.5449919999999999,0.5422959499999999,0.54769405,0.4550080000000001
RL_adaptive,500,2000,0.9992765270640501,0.9992294509614997,0.9993222309480913,0.000723472935949842,0.0006772481949699284,0.0007709406569398214,0.04277552557909599,0.041318727575063635,0.04422103180739878,0.5454390000000001,0.543712975,0.547190025,0.4545609999999999
