comparison,N,n_pairs,mean_difference,ci95_low,ci95_high,lhs_win_rate,tie_rate,lhs_loss_rate
RL_minus_XYZ,10,2000,0.002813035934829448,-0.005379853382963717,0.01094649251243507,0.5105,0.0085,0.4845
ORACLE_minus_XYZ,10,2000,0.12239298110372007,0.11528733552857875,0.1295055104771752,0.831,0.0005,0.1685
ORACLE_minus_RL,10,2000,0.11957994516889062,0.11260475316243371,0.1266080969554674,0.8355,0.0,0.1645
RL_minus_XYZ,25,2000,-0.013273397605726536,-0.017618880959740554,-0.008957406726159588,0.449,0.0,0.551
ORACLE_minus_XYZ,25,2000,0.061195787532849655,0.05812266315828152,0.06424686551096435,0.852,0.0,0.148
ORACLE_minus_RL,25,2000,0.0744691851385762,0.070933864270817,0.07823037955841765,0.8715,0.0,0.1285
RL_minus_XYZ,50,2000,-0.016780784856037328,-0.01951040257196672,-0.01419202867985711,0.3995,0.0,0.6005
ORACLE_minus_XYZ,50,2000,0.034049996429600084,0.032454324631558076,0.03570445733093052,0.8685,0.0,0.1315
ORACLE_minus_RL,50,2000,0.050830781285637415,0.048642217746146375,0.053124564686882016,0.8975,0.0,0.1025
RL_minus_XYZ,100,2000,-0.011686681041015773,-0.013118815442756806,-0.010285819165992967,0.373,0.0,0.627
ORACLE_minus_XYZ,100,2000,0.017482866333002157,0.0167169178428277,0.018251760371198942,0.882,0.0,0.118
ORACLE_minus_RL,100,2000,0.029169547374017932,0.027924757085753173,0.03047082100333301,0.918,0.0,0.082
RL_minus_XYZ,250,2000,-0.0073813618414923865,-0.008330072391643878,-0.006515044856433996,0.3385,0.0,0.6615
ORACLE_minus_XYZ,250,2000,0.006811132849738605,0.006481142843438367,0.007144688206871062,0.8705,0.0,0.1295
ORACLE_minus_RL,250,2000,0.014192494691230994,0.013364813883520475,0.015106981879735566,0.9195,0.0,0.0805
RL_minus_XYZ,500,2000,-0.003908024275154235,-0.004298466777691855,-0.0035421617179763145,0.335,0.0,0.665
ORACLE_minus_XYZ,500,2000,0.003727668734269939,0.0035578403732503,0.00389910148612525,0.888,0.0,0.112
ORACLE_minus_RL,500,2000,0.007635693009424175,0.00729211615779852,0.007977220472999974,0.9315,0.0,0.0685
