plane,method,N,n_trials,fidelity_mean,fidelity_ci95_low,fidelity_ci95_high,infidelity_mean
XY,RL_adaptive,10,666,0.8002645906052458,0.7892961759335336,0.8109869336917188,0.19973540939475423
XY,RL_adaptive,25,666,0.9022249827895099,0.8967556650288147,0.9074217134244351,0.09777501721049023
XY,RL_adaptive,50,666,0.9317220789335129,0.9279318614037526,0.9353476582764715,0.06827792106648699
XY,RL_adaptive,100,666,0.9675513505461316,0.9655012470038724,0.9695084055355211,0.03244864945386835
XY,RL_adaptive,250,666,0.9849772972819701,0.9837220466635077,0.98610346467534,0.015022702718029787
XY,RL_adaptive,500,666,0.9915972468365759,0.9910682283508234,0.9921180633448167,0.00840275316342404
XY,XYZ_split,10,666,0.7961578977465712,0.7854888044526337,0.8065366691896326,0.2038421022534286
XY,XYZ_split,25,666,0.9140964716391214,0.9095447919327181,0.9186733773295754,0.08590352836087863
XY,XYZ_split,50,666,0.9521363012857326,0.9493978531807445,0.9548409516769312,0.047863698714267384
XY,XYZ_split,100,666,0.9757983646585096,0.9744662391574405,0.9771125948258388,0.0242016353414903
XY,XYZ_split,250,666,0.9907584035363315,0.99021772735726,0.9912901867178758,0.009241596463668508
XY,XYZ_split,500,666,0.9952022362799202,0.994948838720181,0.9954504879042465,0.0047977637200796825
XY,ORACLE_plane,10,666,0.9291274947032861,0.9218595855913879,0.9358565756493197,0.07087250529671386
XY,ORACLE_plane,25,666,0.9728627242205112,0.9705027236213654,0.9749922282838895,0.027137275779488754
XY,ORACLE_plane,50,666,0.9877204284723359,0.9866374872687582,0.9887498760076145,0.012279571527664079
XY,ORACLE_plane,100,666,0.9940323295646148,0.9934979946210031,0.9945414772638337,0.005967670435385161
XY,ORACLE_plane,250,666,0.9974543260750995,0.99724317260227,0.9976508563431733,0.0025456739249003295
XY,ORACLE_plane,500,666,0.9987566237924577,0.9986517039613901,0.9988561370071558,0.0012433762075423432
XY,ZX_split,10,666,0.5916674232527029,0.5794432067784893,0.6035681200876897,0.4083325767472971
XY,ZX_split,25,666,0.6481314024716985,0.6385414224980349,0.6577467738905992,0.35186859752830146
XY,ZX_split,50,666,0.6794536053703014,0.6714032700960235,0.6875062564496075,0.32054639462969853
XY,ZX_split,100,666,0.6914668725489042,0.6835901287490554,0.6993286009848793,0.3085331274510958
XY,ZX_split,250,666,0.6993391077313582,0.6917136068896322,0.7068478243950517,0.30066089226864173
XY,ZX_split,500,666,0.7021877769306835,0.6948702421746101,0.7098015903723921,0.2978122230693166
XY,Z_only,10,666,0.25,0.25,0.25,0.75
XY,Z_only,25,666,0.25,0.25,0.25,0.75
XY,Z_only,50,666,0.25,0.25,0.25,0.75
XY,Z_only,100,666,0.25,0.25,0.25,0.75
XY,Z_only,250,666,0.25,0.25,0.25,0.75
XY,Z_only,500,666,0.25,0.25,0.25,0.75
XZ,RL_adaptive,10,654,0.8079604178632357,0.7978940355056487,0.8177341710424527,0.19203958213676442
XZ,RL_adaptive,25,654,0.9034848105403147,0.8974150507638337,0.9094896597742703,0.09651518945968522
XZ,RL_adaptive,50,654,0.9348899831299475,0.9309789737922326,0.9387423686544886,0.06511001687005252
XZ,RL_adaptive,100,654,0.9649752840720781,0.9627733979533555,0.9670816879768901,0.03502471592792185
XZ,RL_adaptive,250,654,0.9800915715699897,0.9786328000288462,0.9814082601077928,0.019908428430010283
XZ,RL_adaptive,500,654,0.9900337599601984,0.9893579229335195,0.9906604041818652,0.009966240039801467
XZ,XYZ_split,10,654,0.81350837677017,0.8040466160091417,0.82265148470404,0.18649162322982996
XZ,XYZ_split,25,654,0.9110338959482104,0.9063022740613218,0.9156527763773833,0.08896610405178965
XZ,XYZ_split,50,654,0.9537337180230977,0.9511716863768641,0.9562341261549747,0.04626628197690231
XZ,XYZ_split,100,654,0.9766809065899162,0.9754438314864944,0.9778815238765385,0.023319093410083896
XZ,XYZ_split,250,654,0.9905828336462225,0.9900494656559388,0.9911035585838677,0.009417166353777514
XZ,XYZ_split,500,654,0.9948419841091006,0.9945194177970409,0.9951570315681169,0.005158015890899286
XZ,ORACLE_plane,10,654,0.9299006310714347,0.9228501309084388,0.9365267178305987,0.07009936892856525
XZ,ORACLE_plane,25,654,0.9717731540784951,0.969353104743528,0.9740447753047957,0.028226845921504835
XZ,ORACLE_plane,50,654,0.9869998322803206,0.9859084252332703,0.9880461460986468,0.013000167719679535
XZ,ORACLE_plane,100,654,0.9940559088185775,0.9935719328773419,0.9945053653965881,0.005944091181422404
XZ,ORACLE_plane,250,654,0.9974570566134066,0.9972495577267804,0.9976593192881276,0.002542943386593579
XZ,ORACLE_plane,500,654,0.9988156689930101,0.9987154509731605,0.9989088624331166,0.0011843310069898074
XZ,ZX_split,10,654,0.929530852755513,0.9225218473991965,0.9359220714979614,0.07046914724448702
XZ,ZX_split,25,654,0.9737532328963876,0.9714429533132137,0.9759886438599078,0.026246767103612484
XZ,ZX_split,50,654,0.9876310409173231,0.9866141571255983,0.9886341452102956,0.012368959082676767
XZ,ZX_split,100,654,0.9941262163797404,0.9936217118509267,0.994602573790491,0.005873783620259558
XZ,ZX_split,250,654,0.9974271615176638,0.9972007836021487,0.9976468223914176,0.0025728384823364503
XZ,ZX_split,500,654,0.9987314193191006,0.9986280526682106,0.9988299515646732,0.0012685806808994061
XZ,Z_only,10,654,0.6860232825025355,0.6743406926532103,0.6976300019043215,0.3139767174974644
XZ,Z_only,25,654,0.7057319654656999,0.6972837197747457,0.7141301932802941,0.2942680345343001
XZ,Z_only,50,654,0.707671104562129,0.6994715624899951,0.7158261689305374,0.2923288954378709
XZ,Z_only,100,654,0.707671104562129,0.6995017334162615,0.7157230057263733,0.2923288954378709
XZ,Z_only,250,654,0.707671104562129,0.6996355418880464,0.7158735671708701,0.2923288954378709
XZ,Z_only,500,654,0.707671104562129,0.6994281474100048,0.7155468330128171,0.2923288954378709
YZ,RL_adaptive,10,680,0.8179586212000064,0.8081214216292761,0.8275213865886946,0.1820413787999936
YZ,RL_adaptive,25,680,0.8881954635145318,0.8826433864461781,0.8938313549122232,0.11180453648546812
YZ,RL_adaptive,50,680,0.9423161422976635,0.9385192092039615,0.9459260036632411,0.057683857702336555
YZ,RL_adaptive,100,680,0.9618395969638831,0.9595865132994156,0.964078908959985,0.03816040303611687
YZ,RL_adaptive,250,680,0.9847188354258316,0.9826365681280151,0.9861875121103189,0.015281164574168369
YZ,RL_adaptive,500,680,0.9917532850188442,0.991166072974198,0.9923132718852992,0.008246714981155971
YZ,XYZ_split,10,680,0.8083712983310111,0.7980214400635168,0.8185319800717835,0.19162870166898893
YZ,XYZ_split,25,680,0.9083473484863672,0.9031776697110467,0.9134572683108653,0.09165265151363279
YZ,XYZ_split,50,680,0.9535542231879226,0.951097186700868,0.9559890080897365,0.046445776812077524
YZ,XYZ_split,100,680,0.9768769110175916,0.9755987656183496,0.9780861824884054,0.02312308898240841
YZ,XYZ_split,250,680,0.9906765141313081,0.990143743961929,0.9911928436332772,0.009323485868691996
YZ,XYZ_split,500,680,0.9950923247065779,0.9948067285493442,0.995371107927799,0.004907675293422
YZ,ORACLE_plane,10,680,0.9261767046857773,0.9187846596736817,0.9330539633099877,0.07382329531422283
YZ,ORACLE_plane,25,680,0.9723617250000252,0.9700478738596706,0.9745861784405533,0.02763827499997486
YZ,ORACLE_plane,50,680,0.9868555841124793,0.9857989974534483,0.9879129444285564,0.013144415887520643
YZ,ORACLE_plane,100,680,0.9937278824602295,0.9931855515996633,0.9942401734200093,0.006272117539770654
YZ,ORACLE_plane,250,680,0.9975398074667775,0.9973522730243665,0.9977189082786723,0.0024601925332224206
YZ,ORACLE_plane,500,680,0.9987530974582151,0.9986554137368804,0.9988496399610934,0.0012469025417849247
YZ,ZX_split,10,680,0.6035769331249421,0.5919806561958747,0.6149075147150087,0.39642306687505785
YZ,ZX_split,25,680,0.6580018337003067,0.647552673114266,0.6686228592310275,0.34199816629969326
YZ,ZX_split,50,680,0.6862981532314775,0.677268653904233,0.6953077409224152,0.31370184676852253
YZ,ZX_split,100,680,0.7003062543678634,0.6918688424080517,0.7088148099460964,0.29969374563213663
YZ,ZX_split,250,680,0.708537869733616,0.7003374051441983,0.7168818468412483,0.29146213026638407
YZ,ZX_split,500,680,0.7110682035054895,0.7029460545067628,0.7192531006655912,0.28893179649451056
YZ,Z_only,10,680,0.6926659465101579,0.6805555924322296,0.704112547561312,0.307334053489842
YZ,Z_only,25,680,0.7108592443106503,0.7019741748332001,0.7194702242237072,0.2891407556893497
YZ,Z_only,50,680,0.7134297739236205,0.7050826643193182,0.7216366346903893,0.2865702260763794
YZ,Z_only,100,680,0.7134297739236205,0.7051167691191713,0.72154419029148,0.2865702260763794
YZ,Z_only,250,680,0.7134297739236205,0.7052014671957825,0.7216193892468286,0.2865702260763794
YZ,Z_only,500,680,0.7134297739236205,0.7052461464565564,0.7216779125579207,0.2865702260763794
