plane,N,inactive_fraction_mean,ci95_low,ci95_high
XY,10,0.3201951951951952,0.31786786786786786,0.32252252252252256
XY,25,0.35324324324324313,0.3508708708708708,0.35561561561561555
XY,50,0.16915915915915916,0.16818318318318315,0.17016516516516514
XY,100,0.4353678678678679,0.4348571696696697,0.4358933933933934
XY,250,0.371972972972973,0.37074174174174174,0.3732132882882883
XY,500,0.37181681681681683,0.3705945945945946,0.3730436186186186
XZ,10,0.32148318042813456,0.3188837920489297,0.3240080275229357
XZ,25,0.40932721712538217,0.4079510703363914,0.41076452599388374
XZ,50,0.36591743119266057,0.36484709480122324,0.3670642201834862
XZ,100,0.40386085626911317,0.40340214067278296,0.40431957186544343
XZ,250,0.09603975535168197,0.09339755351681957,0.09865764525993885
XZ,500,0.10772018348623853,0.10559778287461774,0.10978597094801223
YZ,10,0.3527941176470588,0.3502941176470588,0.3552941176470588
YZ,25,0.21294117647058824,0.21073529411764708,0.21511764705882352
YZ,50,0.44010294117647075,0.439264705882353,0.4409411764705883
YZ,100,0.16419852941176472,0.16328676470588235,0.165125
YZ,250,0.4038941176470588,0.4026941176470588,0.40512058823529407
YZ,500,0.3722029411764706,0.37121911764705884,0.37315003676470593
