target_id,N,plane,inactive_fraction_q1,inactive_fraction_q2,inactive_fraction_mean
0,10,XY,0.3,0.3,0.3
0,25,XY,0.52,0.24,0.38
0,50,XY,0.16,0.16,0.16
0,100,XY,0.71,0.17,0.44
0,250,XY,0.128,0.62,0.374
0,500,XY,0.096,0.628,0.362
1,10,YZ,0.4,0.3,0.35
1,25,YZ,0.28,0.28,0.28
1,50,YZ,0.66,0.22,0.44
1,100,YZ,0.15,0.15,0.15
1,250,YZ,0.652,0.124,0.388
1,500,YZ,0.692,0.102,0.397
2,10,XY,0.3,0.3,0.3
2,25,XY,0.48,0.24,0.36
2,50,XY,0.16,0.16,0.16
2,100,XY,0.64,0.21,0.425
2,250,XY,0.152,0.636,0.394
2,500,XY,0.082,0.64,0.361
3,10,XY,0.3,0.3,0.3
3,25,XY,0.52,0.24,0.38
3,50,XY,0.18,0.18,0.18
3,100,XY,0.72,0.17,0.445
3,250,XY,0.1,0.604,0.352
3,500,XY,0.114,0.674,0.394
4,10,XZ,0.4,0.4,0.4
4,25,XZ,0.28,0.6,0.44
4,50,XZ,0.14,0.58,0.36
4,100,XZ,0.12,0.69,0.405
4,250,XZ,0.1,0.144,0.122
4,500,XZ,0.128,0.004,0.066
5,10,XZ,0.4,0.4,0.4
5,25,XZ,0.24,0.52,0.38
5,50,XZ,0.14,0.58,0.36
5,100,XZ,0.14,0.66,0.4
5,250,XZ,0.092,0.124,0.108
5,500,XZ,0.11,0.14,0.125
6,10,YZ,0.3,0.3,0.3
6,25,YZ,0.16,0.16,0.16
6,50,YZ,0.64,0.22,0.43
6,100,YZ,0.18,0.16,0.17
6,250,YZ,0.64,0.144,0.392
6,500,YZ,0.684,0.092,0.388
7,10,XZ,0.3,0.3,0.3
7,25,XZ,0.28,0.6,0.44
7,50,XZ,0.16,0.58,0.37
7,100,XZ,0.16,0.66,0.41
7,250,XZ,0.096,0.132,0.114
7,500,XZ,0.114,0.178,0.146
8,10,XY,0.3,0.3,0.3
8,25,XY,0.52,0.24,0.38
8,50,XY,0.16,0.16,0.16
8,100,XY,0.68,0.2,0.44
8,250,XY,0.124,0.62,0.372
8,500,XY,0.11,0.622,0.366
9,10,XZ,0.4,0.3,0.35
9,25,XZ,0.24,0.52,0.38
9,50,XZ,0.14,0.62,0.38
9,100,XZ,0.15,0.66,0.405
9,250,XZ,0.112,0.128,0.12
9,500,XZ,0.098,0.128,0.113
10,10,XY,0.3,0.3,0.3
10,25,XY,0.52,0.24,0.38
10,50,XY,0.16,0.16,0.16
10,100,XY,0.67,0.2,0.435
10,250,XY,0.1,0.628,0.364
10,500,XY,0.112,0.646,0.379
11,10,XY,0.3,0.4,0.35
11,25,XY,0.44,0.16,0.3
11,50,XY,0.16,0.18,0.17
11,100,XY,0.69,0.19,0.44
11,250,XY,0.12,0.624,0.372
11,500,XY,0.102,0.682,0.392
12,10,XY,0.3,0.3,0.3
12,25,XY,0.48,0.2,0.34
12,50,XY,0.16,0.18,0.17
12,100,XY,0.67,0.19,0.43
12,250,XY,0.104,0.64,0.372
12,500,XY,0.12,0.676,0.398
13,10,YZ,0.4,0.4,0.4
13,25,YZ,0.24,0.2,0.22
13,50,YZ,0.68,0.18,0.43
13,100,YZ,0.16,0.16,0.16
13,250,YZ,0.668,0.172,0.42
13,500,YZ,0.658,0.058,0.358
14,10,YZ,0.3,0.4,0.35
14,25,YZ,0.2,0.16,0.18
14,50,YZ,0.68,0.18,0.43
14,100,YZ,0.19,0.16,0.175
14,250,YZ,0.632,0.136,0.384
14,500,YZ,0.652,0.082,0.367
15,10,XY,0.4,0.3,0.35
15,25,XY,0.56,0.32,0.44
15,50,XY,0.22,0.18,0.2
15,100,XY,0.69,0.18,0.435
15,250,XY,0.104,0.608,0.356
15,500,XY,0.116,0.64,0.378
16,10,YZ,0.4,0.3,0.35
16,25,YZ,0.24,0.24,0.24
16,50,YZ,0.66,0.22,0.44
16,100,YZ,0.16,0.15,0.155
16,250,YZ,0.64,0.132,0.386
16,500,YZ,0.648,0.116,0.382
17,10,XZ,0.3,0.3,0.3
17,25,XZ,0.24,0.52,0.38
17,50,XZ,0.14,0.62,0.38
17,100,XZ,0.16,0.62,0.39
17,250,XZ,0.108,0.128,0.118
17,500,XZ,0.1,0.142,0.121
18,10,YZ,0.4,0.3,0.35
18,25,YZ,0.24,0.24,0.24
18,50,YZ,0.68,0.24,0.46
18,100,YZ,0.13,0.16,0.145
18,250,YZ,0.664,0.112,0.388
18,500,YZ,0.614,0.1,0.357
19,10,YZ,0.4,0.3,0.35
19,25,YZ,0.2,0.2,0.2
19,50,YZ,0.74,0.18,0.46
19,100,YZ,0.14,0.14,0.14
19,250,YZ,0.736,0.164,0.45
19,500,YZ,0.698,0.004,0.351
20,10,XY,0.2,0.2,0.2
20,25,XY,0.48,0.2,0.34
20,50,XY,0.18,0.18,0.18
20,100,XY,0.7,0.17,0.435
20,250,XY,0.124,0.6,0.362
20,500,XY,0.104,0.664,0.384
21,10,XY,0.4,0.3,0.35
21,25,XY,0.56,0.24,0.4
21,50,XY,0.18,0.18,0.18
21,100,XY,0.69,0.19,0.44
21,250,XY,0.128,0.572,0.35
21,500,XY,0.11,0.598,0.354
22,10,XY,0.3,0.3,0.3
22,25,XY,0.48,0.2,0.34
22,50,XY,0.16,0.16,0.16
22,100,XY,0.7,0.18,0.44
22,250,XY,0.132,0.588,0.36
22,500,XY,0.098,0.632,0.365
23,10,XZ,0.3,0.4,0.35
23,25,XZ,0.28,0.56,0.42
