method,N,n_trials,fidelity_mean,fidelity_ci95_low,fidelity_ci95_high,infidelity_mean,infidelity_ci95_low,infidelity_ci95_high
RL_adaptive,10,2000,0.808797096520827,0.8030201323176883,0.8146259894500404,0.19120290347917293,0.1852991188043358,0.19712404375104337
RL_adaptive,25,2000,0.8978669099105304,0.8944951922627454,0.9010420591445869,0.10213309008946948,0.0989392865962228,0.1053978500113297
RL_adaptive,50,2000,0.9363599651495583,0.93422980564564,0.9385407444933107,0.06364003485044177,0.06153329622704597,0.06577359588092228
RL_adaptive,100,2000,0.9647669805911516,0.963543611603682,0.9660197580587253,0.035233019408848334,0.03399103402260181,0.03648977902309913
RL_adaptive,250,2000,0.9832917879430655,0.9823521195324745,0.9841186657420006,0.016708212056934527,0.015895157600415478,0.01763428588145424
RL_adaptive,500,2000,0.9911390396099716,0.9908004081242636,0.9914740632431676,0.008860960390028318,0.00852839354312006,0.009209612059474036
XYZ_split,10,2000,0.8059840605859977,0.7999456547970815,0.8118182570214599,0.1940159394140024,0.18804344806156115,0.19999831547555577
XYZ_split,25,2000,0.9111403075162571,0.90837678112173,0.913854525300733,0.08885969248374295,0.08606602605443041,0.09166488828932177
XYZ_split,50,2000,0.9531407500055956,0.951633554317398,0.9545889068810274,0.04685924999440445,0.04539080373488626,0.0483744839210483
XYZ_split,100,2000,0.9764536616321675,0.9757166157203325,0.9771849095087697,0.02354633836783257,0.022819980471293917,0.02428413533050336
XYZ_split,250,2000,0.9906731497845578,0.9903715296113746,0.9909781728002638,0.00932685021544214,0.00902281578790024,0.009629784214105173
XYZ_split,500,2000,0.9950470638851259,0.9948815425529272,0.9952075004487415,0.0049529361148740805,0.004792730771038185,0.005117050866528302
ORACLE_plane,10,2000,0.9283770416897177,0.9243037822770341,0.9323373272953681,0.07162295831028233,0.0676109079651216,0.07566938160077545
ORACLE_plane,25,2000,0.9723360950491067,0.9709757563076803,0.9736441410673684,0.02766390495089329,0.026347187083278982,0.02898865110136426
ORACLE_plane,50,2000,0.9871907464351957,0.9865645717253863,0.9878157601510975,0.012809253564804364,0.012212299573779669,0.013426045819911525
ORACLE_plane,100,2000,0.9939365279651695,0.9936394998549971,0.9942252599900238,0.006063472034830407,0.005776995503024368,0.006354589821118519
ORACLE_plane,250,2000,0.9974842826342966,0.9973661779965615,0.997600178700607,0.002515717365703533,0.002399994640982986,0.00263119669156908
ORACLE_plane,500,2000,0.9987747326193958,0.9987147530623416,0.9988299713951075,0.0012252673806041419,0.0011696379126724303,0.0012810807120795568
ZX_split,10,2000,0.7061979980566832,0.6971048364404983,0.7153644065015432,0.2938020019433169,0.28486866673325323,0.3029764731406699
ZX_split,25,2000,0.7579656876382987,0.7498648063253295,0.7659997670885937,0.2420343123617014,0.2337026877505381,0.2501824437658984
ZX_split,50,2000,0.7825547730669773,0.7750449744843887,0.7899283382493136,0.2174452269330226,0.2101755569802706,0.2251215611574144
ZX_split,100,2000,0.7934418678000337,0.7863434242400426,0.8006665343039632,0.20655813219996622,0.19936340948141304,0.21377086533358092
ZX_split,250,2000,0.7999414804002477,0.7928113801488105,0.807040389819824,0.2000585195997523,0.19302127644522515,0.20706243410567532
ZX_split,500,2000,0.8021768930271299,0.7951944929262907,0.8092751589079273,0.19782310697287012,0.19071637753659665,0.20496170865154742
Z_only,10,2000,0.5430860351917829,0.5325032596894993,0.553746273072936,0.4569139648082172,0.44639401151222574,0.4676742580300598
Z_only,25,2000,0.5557164957729049,0.5453864220514182,0.5660898697222025,0.444283504227095,0.43399221360901585,0.454642475348292
Z_only,50,2000,0.5572245743258473,0.546925937807441,0.5674968180906357,0.44277542567415273,0.4327568523930016,0.4530720449223456
Z_only,100,2000,0.5572245743258473,0.5471218514461889,0.5675076235476155,0.44277542567415273,0.4326814120004834,0.45312163468162886
Z_only,250,2000,0.5572245743258473,0.5472553495438282,0.5674408442715551,0.44277542567415273,0.43255705177115944,0.4531028311774024
Z_only,500,2000,0.5572245743258473,0.546926228315701,0.567413689311984,0.44277542567415273,0.43260590381407676,0.4530958161046055
