N,noise,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
5,0.0,1.0,0.3825,0.079,0.077,1.0915,0.461,0.0,0.703,1.206
5,0.05,1.0,0.382,0.0845,0.0705,1.092,0.475,0.0,0.69,1.206
5,0.1,1.0,0.3735,0.0735,0.087,1.096,0.465,0.0,0.71,1.195
5,0.15,1.0,0.3945,0.076,0.07,1.0875,0.453,0.0,0.7105,1.2085
10,0.0,1.0,0.644,1.906,2.7915,1.0,0.0985,0.0345,1.124,1.4015
10,0.05,1.0,0.631,1.9145,2.8005,1.0,0.117,0.0375,1.141,1.3585
10,0.1,1.0,0.6305,1.897,2.825,1.0,0.0945,0.033,1.1435,1.3765
10,0.15,1.0,0.615,1.928,2.82,1.0,0.094,0.0265,1.151,1.3655
25,0.0,1.0155,1.6685,4.8025,2.5365,3.0345,1.3975,5.921,3.37,1.254
25,0.05,1.0145,1.655,4.841,2.5005,3.009,1.395,5.97,3.348,1.267
25,0.1,1.012,1.618,4.927,2.4445,3.039,1.357,6.06,3.326,1.2165
25,0.15,1.013,1.593,4.9725,2.4295,2.984,1.346,6.107,3.353,1.202
50,0.0,12.3605,5.2485,0.9435,0.3925,4.219,11.521,3.008,8.227,4.08
50,0.05,12.3705,5.3745,0.854,0.386,4.14,11.657,2.963,8.1955,4.0595
50,0.1,12.46,5.3255,0.7985,0.365,4.0915,11.692,2.951,8.2895,4.027
50,0.15,12.542,5.232,0.7645,0.373,4.1335,11.673,2.8775,8.298,4.1065
100,0.0,9.627,7.6765,1.0,7.3695,8.3305,12.511,0.838,34.7385,17.909
100,0.05,9.522,7.838,0.8885,7.5055,8.254,12.47,0.744,34.778,18.0
100,0.1,9.425,8.084,0.6905,7.602,8.108,12.5085,0.625,34.756,18.201
100,0.15,9.166,8.317,0.6205,7.832,7.967,12.5095,0.531,34.8145,18.2425
