N,noise,n_pairs,delta_mean,delta_ci95_low,delta_ci95_high,rl_win_rate,tie_rate,rl_loss_rate
5,0.0,2000,0.011385263815879345,-0.0012248822711991001,0.02409741705571452,0.5155,0.0045,0.48
5,0.05,2000,0.009582857024554088,-0.003679892883805266,0.023575099569207485,0.523,0.0055,0.4715
5,0.1,2000,0.009026559536356199,-0.005867819567409028,0.023967836506660414,0.499,0.002,0.499
5,0.15,2000,0.013221138351128717,-0.0023371209015019385,0.028853464477502193,0.512,0.002,0.486
10,0.0,2000,-0.012037379252028671,-0.020668814808985848,-0.0034777241986174955,0.4655,0.0,0.5345
10,0.05,2000,-0.0077300142688449475,-0.018346059498900853,0.0027468542976386346,0.48,0.0,0.52
10,0.1,2000,-0.01756928481001111,-0.03011250742858389,-0.005197034431042574,0.4765,0.0,0.5235
10,0.15,2000,-0.001163017640567959,-0.014442398627785888,0.012315722349789941,0.495,0.0,0.505
25,0.0,2000,-0.0008078734088372182,-0.0049119342590446926,0.0032210015019058388,0.5055,0.0,0.4945
25,0.05,2000,-0.0014622233780317436,-0.00666583081369047,0.003747427422230297,0.499,0.0,0.501
25,0.1,2000,-0.004504804184657512,-0.011345150053712063,0.002363404752172989,0.4835,0.0,0.5165
25,0.15,2000,-0.0020417202372072702,-0.010869460490233938,0.00658150463860425,0.503,0.0,0.497
50,0.0,2000,-0.0011370136957762195,-0.003305005569356636,0.0009211173673821671,0.488,0.0,0.512
50,0.05,2000,-0.0018294547097138238,-0.004648930518968237,0.0009867331832333133,0.495,0.0,0.505
50,0.1,2000,-0.0027715162442494947,-0.006583850364698361,0.0009580730415907665,0.4835,0.0,0.5165
50,0.15,2000,-0.003951100042513232,-0.008812390031780979,0.0011686178314511528,0.498,0.0,0.502
100,0.0,2000,-0.006033966827154498,-0.007338074600112626,-0.0047477651686776414,0.4425,0.0,0.5575
100,0.05,2000,-0.007627621470156335,-0.009312327357384166,-0.0059910948588764255,0.427,0.0,0.573
100,0.1,2000,-0.009895315749151617,-0.01213559160606571,-0.007689448007352936,0.44,0.0,0.56
100,0.15,2000,-0.013832017380619998,-0.016920442364595382,-0.010752584137325447,0.43,0.0,0.57
