N,drift_level,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
10,0.0,1.127,1.0195,0.1215,0.076,1.2985,2.456,2.2105,0.615,1.076
10,0.0025,1.1315,1.029,0.1245,0.0785,1.3005,2.448,2.1955,0.63,1.0625
10,0.005,1.1185,1.055,0.1125,0.0695,1.321,2.452,2.247,0.548,1.0765
10,0.01,1.1395,1.0425,0.1265,0.067,1.2755,2.492,2.1765,0.602,1.0785
25,0.0,1.958,5.3865,0.9395,6.655,1.581,0.266,0.3945,0.189,7.6305
25,0.0025,1.965,5.3565,0.977,6.6745,1.5555,0.2705,0.399,0.204,7.598
25,0.005,1.971,5.365,0.984,6.697,1.587,0.267,0.384,0.197,7.548
25,0.01,1.9385,5.435,0.937,6.641,1.5895,0.2705,0.3815,0.1815,7.6255
50,0.0,4.525,4.4645,7.0,0.9865,11.0735,3.268,14.8095,1.3475,2.5255
50,0.0025,4.312,4.4895,7.0535,0.9315,11.0705,3.377,14.921,1.3925,2.4525
50,0.005,4.3965,4.552,7.1065,1.0035,10.881,3.2765,14.825,1.4385,2.5205
50,0.01,4.4955,4.641,7.065,0.9935,10.9315,3.196,14.8095,1.3695,2.4985
