N,drift_level,n_pairs,delta_final_mean,delta_final_ci95_low,delta_final_ci95_high,delta_tracking_mean,delta_tracking_ci95_low,delta_tracking_ci95_high,rl_tracking_win_rate,rl_tracking_tie_rate,rl_tracking_loss_rate,rl_final_win_rate,rl_final_tie_rate,rl_final_loss_rate
10,0.0,2000,-0.008126987048094982,-0.017099202619143265,0.0010415679184944417,-0.004848853619638314,-0.013603872875009068,0.0038377611186470196,0.508,0.0,0.492,0.5005,0.0005,0.499
10,0.0025,2000,-0.00791315174582119,-0.01723729678957317,0.001519928616805009,-0.006999132899732627,-0.015373875021290187,0.001164667641981853,0.491,0.0,0.509,0.489,0.0,0.511
10,0.005,2000,-0.011612443034093896,-0.020364566888387153,-0.0028196362183805918,-0.009602201956949066,-0.017751763032734975,-0.0013671900080978346,0.4805,0.0,0.5195,0.476,0.0,0.524
10,0.01,2000,-0.015630347149376007,-0.024686014111225764,-0.006487337167975606,-0.017107845551401137,-0.025702855772208395,-0.008722717684861043,0.4795,0.0,0.5205,0.48,0.0,0.52
25,0.0,2000,0.019313580895576103,0.013709545464520344,0.024902895848505142,0.004738729293158275,-0.0003577930633165989,0.009824077359607025,0.5255,0.0,0.4745,0.548,0.0,0.452
25,0.0025,2000,0.01599978106084947,0.010359026207219447,0.021821962842392607,0.0011178039407988124,-0.003993414759185396,0.0062810260379009995,0.497,0.0,0.503,0.5315,0.0,0.4685
25,0.005,2000,0.017497223785916928,0.011851027721287613,0.023267662284377183,0.005024737857482137,-0.00011648972230067615,0.010077312987593722,0.5195,0.0,0.4805,0.555,0.0,0.445
25,0.01,2000,0.00935180941803642,0.0038542156472256817,0.014861853834065734,0.005100306178134461,0.00015819308561967744,0.010101214469244394,0.5175,0.0,0.4825,0.5435,0.0,0.4565
50,0.0,2000,0.022993506007951695,0.018056749728865458,0.027880020322821438,0.004900498995346371,0.0015449895078070738,0.0082283764757272,0.54,0.0,0.46,0.5915,0.0,0.4085
50,0.0025,2000,0.027542131125025352,0.02256432212505247,0.03259506015372883,0.005733440868503697,0.00234573182549976,0.0091578452660537,0.54,0.0,0.46,0.608,0.0,0.392
50,0.005,2000,0.02486264755970747,0.020120697557464057,0.02958999862794712,0.006009495346583688,0.0026470890788998108,0.009390551291319943,0.5475,0.0,0.4525,0.606,0.0,0.394
50,0.01,2000,0.018381429365966456,0.013293932593983272,0.023297077651884858,0.005537694590215418,0.002135349585932542,0.008881758239074906,0.5425,0.0,0.4575,0.58,0.0,0.42
